Lower CI,,Upper CI,,Central estimate,
X,Y,X,Y,X,Y
0,63.381995133819956,0,76.52068126520682,0,69.95133819951337
3.979591836734695,43.67396593673966,3.979591836734695,48.29683698296836,3.979591836734695,46.10705596107056
7.04081632653061,48.78345498783453,7.04081632653061,59.245742092457405,7.04081632653061,53.89294403892944
8.061224489795919,41.97080291970802,8.061224489795919,53.64963503649635,8.061224489795919,47.8102189781022
13.979591836734695,38.321167883211686,13.979591836734695,44.8905109489051,13.979591836734695,41.72749391727493
18.06122448979592,26.155717761557185,17.95918367346939,38.07785888077859,17.95918367346939,31.99513381995132
21.02040816326531,40.754257907542566,21.02040816326531,51.21654501216544,21.02040816326531,45.86374695863748
25,40.0243309002433,25,49.026763990267625,25,44.64720194647202
28.06122448979592,19.099756690997566,27.959183673469383,30.778588807785866,27.959183673469383,24.93917274939173
32.95918367346939,14.476885644768856,32.95918367346939,28.102189781021906,28.97959183673469,17.88321167883211
,,,,32.95918367346939,21.289537712895367
