Lower CI,,Upper CI,,Central estimate,
X,Y,X,Y,X,Y
0,50.97323600973235,0,58.029197080291965,0,54.379562043795616
3.9795918367346843,116.66666666666666,3.9795918367346843,136.13138686131387,3.9795918367347127,126.39902676399026
6.938775510204081,75.54744525547444,6.938775510204081,93.06569343065694,7.040816326530617,83.8199513381995
13.979591836734684,38.07785888077859,13.979591836734684,53.406326034063255,13.979591836734684,45.620437956204384
17.959183673469383,40.99756690997566,18.06122448979592,60.46228710462286,17.959183673469383,50.72992700729927
20.91836734693878,44.64720194647202,21.020408163265287,55.1094890510949,21.020408163265287,49.756690997566906
24.999999999999986,17.88321167883211,25.000000000000014,27.12895377128953,24.999999999999986,22.50608272506082
29.999999999999986,19.586374695863753,29.999999999999986,38.80778588807786,29.999999999999986,29.075425790754252
32.95918367346941,12.287104622871027,32.95918367346941,18.856447688564486,32.95918367346941,15.450121654501203
