Lower CI,,Upper CI,,Central estimate,
X,Y,X,Y,X,Y
0,72.62773722627738,0,78.71046228710462,0,75.54744525547444
7.959183673469369,73.84428223844282,7.959183673469369,82.60340632603406,7.959183673469369,78.22384428223843
13.979591836734699,109.85401459854015,13.979591836734699,125.4257907542579,13.979591836734699,117.63990267639902
17.95918367346937,68.00486618004867,17.959183673469425,90.38929440389295,17.95918367346937,79.19708029197079
21.02040816326533,77.49391727493918,20.918367346938794,86.00973236009732,21.02040816326533,81.8734793187348
25.00000000000003,18.3698296836983,25.00000000000003,21.289537712895367,25.00000000000003,19.829683698296833
28.97959183673467,35.88807785888078,28.97959183673467,47.8102189781022,28.979591836734727,41.97080291970802
30,17.153284671532845,30,31.75182481751824,30,24.452554744525543
32.9591836734694,10.340632603406334,32.9591836734694,19.099756690997566,32.9591836734694,14.720194647201936
