experiment,group,lifespan,healthspan,sickspan,censored,food,temperature,control,batch_day,batch_device
statzer_main,N2(WT),25.393808,21.310475,4.083333,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),18.310475,18.227141,0.0833340000000006,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),13.393808,10.310475,3.08333299999999,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),16.060475,15.227141,0.833334,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),40.560475,38.352141,2.20833399999999,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),49.643808,46.060475,3.583333,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),12.727141,9.477141,3.25,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),25.727141,22.643808,3.08333299999999,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),24.810475,18.310475,6.5,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),11.060475,9.268808,1.791667,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),46.227141,41.143808,5.083333,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),41.477141,41.060475,0.416666000000006,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),26.143808,22.643808,3.5,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),43.643808,38.352141,5.29166699999999,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),30.143808,24.810475,5.333333,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),46.143808,27.977141,18.166667,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),46.227141,30.810475,15.416666,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),49.227141,38.352141,10.875,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),42.310475,33.643808,8.66666699999999,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),21.060475,15.727141,5.333334,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),41.227141,29.310475,11.916666,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),33.643808,30.143808,3.5,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),11.643808,10.893808,0.75,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),43.143808,29.727141,13.416667,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),29.810475,20.810475,9.0,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),40.9771,,,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),42.8938,,,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),40.560475,24.310475,16.2499999999999,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),36.227141,33.727141,2.5,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),43.310475,33.643808,9.66666699999999,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),24.977141,24.977141,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),32.143808,32.143808,0.0,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),26.643808,13.393808,13.25,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),17.060475,17.060475,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),24.227141,24.227141,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),32.143808,30.935475,1.20833299999999,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),32.393808,29.060475,3.33333299999999,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),31.060475,25.977141,5.083334,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),29.810475,29.810475,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),36.810475,28.977141,7.83333399999999,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),42.977141,27.310475,15.666666,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),32.060475,27.727141,4.33333399999999,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),30.477141,26.727141,3.75,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),27.143808,27.143808,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),19.560475,19.560475,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),25.227141,24.810475,0.416665999999999,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),22.643808,20.060475,2.58333299999999,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),24.310475,16.310475,8.0,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),30.143808,25.143808,5.0,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),44.560475,22.227141,22.3333339999999,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),26.477141,17.977141,8.5,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),22.810475,21.643808,1.166667,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),23.643808,23.643808,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),24.727141,23.893808,0.833332999999999,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),26.560475,20.893808,5.666667,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),18.727141,17.227141,1.5,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),19.643808,19.643808,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),21.143808,19.727141,1.416667,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),23.727141,19.810475,3.91666599999999,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),21.893808,15.643808,6.25,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),21.810475,18.893808,2.916667,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),29.060475,18.310475,10.75,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),17.977141,17.977141,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),27.060475,17.560475,9.5,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),17.560475,17.560475,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),16.310475,16.310475,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),17.227141,17.227141,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),17.143808,17.060475,0.0833329999999996,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),20.393808,15.977141,4.416667,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),16.643808,16.643808,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),16.560475,16.393808,0.166667,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),16.893808,14.727141,2.166667,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),16.060475,15.727141,0.333334,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),15.393808,15.393808,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),13.060475,13.060475,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),15.727141,15.143808,0.583332999999999,0,heat-killed OP50,15,True,,
