"Label","Gender","Publication","Relative longevity (Ln)","Relative steepness (Ln)","p-value","KSm test stat","KSm p-value"
"17aE2","f","C2009","Around[0.003379399667629384, 0.0016137419322881969]","Around[0.05449417950642474, 0.008879107629893508]",0.879716219444722,0.6095085878136665,">= 0.8"
"17aE2","m","C2009","Around[0.09338740073395471, 0.0027025127192961424]","Around[0.2661676255043914, 0.010982794901834235]",0.0020961708235183833,1.2760127911468004,0.07705235864720288
"17aE2_16m","m","C2016","Around[0.14457361436180338, 0.002199972175765328]","Around[0.380049351469479, 0.01004169233301907]",2.9725230346399792e-8,1.4219370038024752,0.035061118238423276
"17aE2_20m","m","C2016","Around[0.09360265789221783, 0.00279324564211445]","Around[0.15194629445900057, 0.009289749694058243]",0.0043211385277486134,0.7896754825340324,0.5746307864942519
"17aE2_hi","f","C2011","Around[0.008921185731600209, 0.0018887419870226797]","Around[0.0809064091936267, 0.00870672681888201]",0.5426457173872627,0.7788206184925845,0.5945348576465341
"17aE2_hi","m","C2011","Around[0.1715660745507894, 0.0029201985646864]","Around[0.2066620815685672, 0.007673018773428156]",8.472455987104689e-10,1.0181382911994894,0.2515624577163641
"4-OH-PBN","f","C2004","Around[-0.014812697827153316, 0.0022240199047588896]","Around[-0.02963128510471781, 0.00867855932959398]",0.7394785803337542,0.5720478461431148,">= 0.8"
"4-OH-PBN","m","C2004","Around[0.01983290549449076, 0.0026348840293323934]","Around[-0.0408075513201778, 0.010396220951650867]",0.2971559712023475,0.6345438018544773,">= 0.8"
"ACA","f","C2009","Around[0.04623655163523081, 0.0018428600106562703]","Around[-0.066449943454274, 0.008429381828731711]",0.011079532352180935,0.5359053335432643,">= 0.8"
"ACA","f","C2012","Around[0.029242891863627166, 0.0018000630488377142]","Around[-0.052286471310850784, 0.008455811224083306]",0.18323122251663806,0.6539483669031123,">= 0.8"
"ACA","m","C2009","Around[0.18939228049728324, 0.0027510075702758983]","Around[0.458605971097858, 0.009844939560417834]",1.2893150428119753e-14,1.4419440488288215,0.03126493492563172
"ACA","m","C2012","Around[0.08487394910585529, 0.002819166036151986]","Around[0.0014410966657461722, 0.009213801766462295]",0.0004470998916613092,0.5985131491358354,">= 0.8"
"ACA_hi","f","C2013","Around[0.05374616209060517, 0.0019528516528456831]","Around[-0.06169112763205403, 0.008610415698840536]",0.007476635037408125,0.7260833483318136,0.6968069516977227
"ACA_hi","m","C2013","Around[0.15273441778549532, 0.002242310423930893]","Around[0.41961739830962214, 0.008674632055001536]",2.007265552589286e-12,1.7713540728280346,0.0037641119248439884
