"Label","Gender","Publication","Relative longevity (Ln)","Relative steepness (Ln)","p-value","KSm test stat","KSm p-value"
"Rapamycin 20mo","f","Bartke_2018_Effects of rapamycin on growth hormone receptor knockout mice","Around[0.17769812093813103, 0.0027842723709097764]","Around[0.32832800601028733, 0.032452248794163745]",2.6780396754233763e-6,0.8182852951814502,0.5241132626371124
"Rapamycin 20mo","m","Bartke_2018_Effects of rapamycin on growth hormone receptor knockout mice","Around[0.14831394039111911, 0.002432930116575719]","Around[-0.3739407084107798, 0.032328598007737505]",2.5072638897292122e-6,1.0561374996390367,0.21487352993187608
"Rapamycin 3mo 42ppm","mix","Blasco_2020_The mTOR pathway is necessary for survival of mice with short telomeres","Around[0.2405116936121501, 0.004241679869798533]","Around[0.5016514577095733, 0.01754753594088439]",0.0001090374715951639,1.2634555384907185,0.08212665789476882
"ATTAC+AP C57","f","Deursen_2016_Naturally occurring p16Ink4a-positive cells shorten healthy lifespan","Around[0.15150303628153128, 0.0031232782273022293]","Around[0.5169517350175369, 0.019311229047074687]",0.005016775468170246,0.8568623255274004,0.4605443599985627
"ATTAC+AP C57","m","Deursen_2016_Naturally occurring p16Ink4a-positive cells shorten healthy lifespan","Around[0.19786770553261676, 0.0032904866665581156]","Around[0.9882122853096955, 0.0147589032406963]",9.531952167448464e-7,1.4379537023568632,0.031991831923008154
"ATTAC+AP mix","f","Deursen_2016_Naturally occurring p16Ink4a-positive cells shorten healthy lifespan","Around[0.18074762956200072, 0.003451602011064802]","Around[0.3445675492983552, 0.013000238348165914]",0.00043036661397325354,0.8244074589996111,0.5136834103660914
"ATTAC+AP mix","m","Deursen_2016_Naturally occurring p16Ink4a-positive cells shorten healthy lifespan","Around[0.2074606163935533, 0.005404419932941548]","Around[0.4206849596585047, 0.018866809090100776]",0.014363363976908195,0.5780364560596756,">= 0.8"
"Rapamycin 19mo","f","Fischer_2013_Rapamycin Extends Life and Health in C57BL6 Mice","Around[0.054521856790287516, 0.0021820507797975963]","Around[-0.12575527383055315, 0.012901385801598993]",0.05858083338098011,0.6069142040469866,">= 0.8"
"Rapamycin 19mo","m","Fischer_2013_Rapamycin Extends Life and Health in C57BL6 Mice","Around[0.021792758799408812, 0.0025906842794101797]","Around[-0.2381256558606117, 0.013191025987980214]",0.11102094609827531,0.5550065873650614,">= 0.8"
"eRapa 2mo","f","Hasty_2015_p53 and rapamycin are additive","Around[0.21164925047224548, 0.005326348931816371]","Around[0.4231701870598102, 0.024460571348916268]",0.01117026985981584,0.612122401149183,">= 0.8"
"eRapa 2mo","m","Hasty_2015_p53 and rapamycin are additive","Around[0.13271035057373545, 0.005130875005052001]","Around[-0.17132490552301172, 0.027186211097893133]",0.046645373675157614,0.7224952775953725,0.7040881153615414
"IGF-1RmAB","f","Huffman_2018_Late-life targeting of the IGF-1 receptor improves","Around[0.08545891932861685, 0.002314345226418462]","Around[0.2470205597497415, 0.014456651022821832]",0.027089243420531865,0.4771635055212978,">= 0.8"
"eRapa o3m","f","Kaeberlein_2016_Transient rapamycin treatment can increase lifespan and healthspan in middle-aged mice","Around[0.09796506596146463, 0.0025962943859361444]","Around[0.33466376136583104, 0.03433910343295713]",0.009733503717953307,0.80298131353937,0.5507846452373535
"eRapa o3m","m","Kaeberlein_2016_Transient rapamycin treatment can increase lifespan and healthspan in middle-aged mice","Around[0.096775271729275, 0.002257712733319413]","Around[0.2680310158923103, 0.02630948056307482]",0.005202145187144961,0.8526238203476061,0.46729822037734775
"Rapa inj3m","f","Kaeberlein_2016_Transient rapamycin treatment can increase lifespan and healthspan in middle-aged mice","Around[-0.011236048996507967, 0.002052617816812401]","Around[0.1771395686806496, 0.014482061374665529]",0.5790847534019674,0.5309477672466305,">= 0.8"
"Rapa inj3m","m","Kaeberlein_2016_Transient rapamycin treatment can increase lifespan and healthspan in middle-aged mice","Around[0.12478984574158729, 0.0033861582671762423]","Around[0.18876364591650335, 0.02042658780309576]",0.031021440492731273,0.6072343990163689,">= 0.8"
"VEGF","f","Keshet_2021_Counteracting age-related VEGF signalinginsufficiency promotes healthy aging and extendslife span","Around[0.3874509738742411, 0.002117686354258577]","Around[0.8534736032474048, 0.013047812134726113]",3.9773697518309534e-39,1.5535828382167114,0.016017200709530756
"VEGF","m","Keshet_2021_Counteracting age-related VEGF signalinginsufficiency promotes healthy aging and extendslife span","Around[0.3503024092236708, 0.00197402933513626]","Around[0.12872721738467457, 0.010836448279805108]",1.6509239202873896e-33,1.1077174839149668,0.1718851310887901
"D+Q","mix","Kirkland_2018_Senolytics improve physical function and increase lifespan in old age","Around[0.04697304007795353, 0.0012852113047441072]","Around[-0.002802261085399165, 0.007597266846664693]",0.01483431104240373,0.4391229824224156,">= 0.8"
"BD","mix","Kume_2023_Ketone bodies A double-edged sword for mammalian life span","Around[-0.10768626800011437, 0.00407563390365931]","Around[-0.06873284213732796, 0.023475829981565336]",0.06549510409874564,0.7577181453494021,0.6343674547364045
"LCKD","mix","Kume_2023_Ketone bodies A double-edged sword for mammalian life span","Around[-0.16471555308307512, 0.0023811406414299082]","Around[1.0607247401003308, 0.02011383768446498]",4.320549855747338e-13,1.2128627346096346,0.10551260595681203
"FMD","f","Longo_2015_A Periodic Diet that Mimics Fasting Promotes Multi-System Regeneration, Enhanced Cognitive Performance, and Healthspan","Around[0.09326419129289258, 0.0022280825591551984]","Around[0.4791882739399922, 0.010111429915998386]",0.000030232008550365956,1.4806151712262512,0.02493967450418624
"LCD","m","Lopez-Dominguez_2017_A Ketogenic Diet Extends Longevity and Healthspan in Adult Mice","Around[0.0580638513475468, 0.001910544608809305]","Around[0.14509406337173988, 0.010940548692583292]",0.09247425277375083,0.6175130520785921,">= 0.8"
"Putrescine 4mo","f","Madeo_2016_Cardioprotection and lifespan extension by the natural polyamine sperm","Around[0.03100811874598675, 0.003080176454231865]","Around[-0.17848985839854778, 0.011716100210865448]",0.36129489504180123,0.8065908635139072,0.544422072858034
"Spermidine 4mo","f","Madeo_2016_Cardioprotection and lifespan extension by the natural polyamine sperm","Around[0.10586164570578402, 0.00204158844187329]","Around[0.14474299130066748, 0.015643337912402546]",0.000250724198799242,0.7885428194666875,0.5766888713283926
"Spermine 4mo","f","Madeo_2016_Cardioprotection and lifespan extension by the natural polyamine sperm","Around[0.11060140449710845, 0.0026434325643514465]","Around[0.12926097231882616, 0.01524669440743242]",0.008830416763078205,0.7166229123852889,0.7160897208180194
"KD","mix","Maratos-Flier_2015_Adaptive changes in amino acid metabolism permit","Around[0.02453415665543607, 0.004937114072191844]","Around[-0.04616819536533022, 0.021453566793413065]",0.7775030529539906,0.8712584416545891,0.4379035898171519
"Fisetin","mix","Niedernhofer_2018_Fisetin is a senotherapeutic that extends health and lifespan","Around[0.13636523658856725, 0.001512480733301705]","Around[0.8795111710541401, 0.03580232986200744]",2.952397101544534e-10,0.6492530424371112,">= 0.8"
"eHSP70 12mo","m","Nudler_2015_Exogenous Hsp70 delays senescence and improves","Around[0.15244462306326695, 0.003888022011721966]","Around[0.3841833829847508, 0.015823233761685488]",0.027289948422551755,0.6563376665419315,">= 0.8"
"Rapa 4mo","f","Richardson_2014_Mice Fed Rapamycin Have an Increase in Lifespan Associated with Major Changes in the Liver Transcriptome","Around[0.11802561244611248, 0.0023635129639500573]","Around[0.03631630932248729, 0.01556511664939322]",0.00014895666163874022,1.052288523123742,0.21838950479457758
"Rapa 4mo","m","Richardson_2014_Mice Fed Rapamycin Have an Increase in Lifespan Associated with Major Changes in the Liver Transcriptome","Around[0.09209939283987952, 0.0032452099325761107]","Around[-0.24215327470201842, 0.017829541370794347]",0.0006427235737571346,0.578609519283054,">= 0.8"
"TNFa block","f","Rovere-Querini_2020_Pharmacological blockade of TNFα p","Around[0.1446279930684482, 0.004660533903865149]","Around[-0.2786051594075514, 0.02575822204560691]",0.007540016980232413,0.8516951204908456,0.4687798700429406
"CR_d02h","m","Takahashi_2022_Circadian alignment of early onset caloric ","Around[0.17585017408865047, 0.0033580865556681974]","Around[0.09335785631585927, 0.011115068046057499]",0.0004037728186017054,0.5439691419539024,">= 0.8"
"CR_d12h","m","Takahashi_2022_Circadian alignment of early onset caloric ","Around[0.1846083057415972, 0.003367507364080537]","Around[0.17891545383674928, 0.013417225257052535]",0.00018141003747843243,0.7829927610320652,0.5868370198055024
"CR_n02h","m","Takahashi_2022_Circadian alignment of early onset caloric ","Around[0.28098767683243925, 0.00291601913076059]","Around[0.4701365275308751, 0.015419171157747791]",3.9477503806721575e-11,1.1179085646866516,0.16426210307210454
"CR_n12h","m","Takahashi_2022_Circadian alignment of early onset caloric ","Around[0.23639988795053182, 0.0029162189927827765]","Around[0.12452058679166936, 0.015548939303798285]",8.147156441159697e-9,0.6526083106931374,">= 0.8"
"CR_s","m","Takahashi_2022_Circadian alignment of early onset caloric ","Around[0.12460600864552643, 0.0034229843507248467]","Around[0.0776057996157504, 0.01387475405489369]",0.019314023950946918,0.5573603575735434,">= 0.8"
"cyclic HF","m","Verdin_2017_Ketogenic Diet Reduces Midlife Mortality and Improves Memory in Aging Mice","Around[0.020018976196595838, 0.00222826783951962]","Around[0.49225878473668777, 0.019079962588209355]",0.04691564912292785,1.3566798672994498,0.05038743985890119
"cyclic KD","m","Verdin_2017_Ketogenic Diet Reduces Midlife Mortality and Improves Memory in Aging Mice","Around[0.03351631959839039, 0.001855598386973807]","Around[0.47890509202852827, 0.011973641823267928]",0.012261927675221074,0.9674786558309982,0.30762224733882615
"HF","m","Verdin_2017_Ketogenic Diet Reduces Midlife Mortality and Improves Memory in Aging Mice","Around[-0.13887607087430323, 0.003135095474642457]","Around[0.03003665675067463, 0.018644283798227666]",0.0001779007713620092,0.6258244848818213,">= 0.8"
"KD","m","Verdin_2017_Ketogenic Diet Reduces Midlife Mortality and Improves Memory in Aging Mice","Around[-0.07338525349443022, 0.002246697689624273]","Around[0.4498453021946, 0.01643776068621938]",0.0012436928999474146,0.45119108586887247,">= 0.8"
"KD","m","Verdin_2017_Ketogenic Diet Reduces Midlife Mortality and Improves Memory in Aging Mice","Around[-0.07338525349443022, 0.002246697689624273]","Around[0.4498453021946, 0.01643776068621938]",0.0012436928999474146,1.0920746936317607,0.18413113364032363
"Taurine","f","Yadav_2023_Taurine deficiency as a driver of aging","Around[0.09817878726115985, 0.0015891794216467024]","Around[0.2489622699888284, 0.009641894676839123]",0.00006193469916578684,1.6439621348483224,0.008986104662923877
"Taurine","m","Yadav_2023_Taurine deficiency as a driver of aging","Around[0.07933517977278, 0.0013725007821756726]","Around[0.28970880351011935, 0.00907712536565603]",0.001308501356522473,1.2438845591599164,0.09059552931380419
