"ATTAC+AP C57_f_Deursen_2016_Naturally occurring p16Ink4a-positive cells shorten healthy lifespan","death","age (years)"
"Control",1,1.0936702010599588
"Control",1,1.4188654388615491
"Control",1,1.506113609137795
"Control",1,1.5490489746241352
"Control",1,1.5782937380765523
"Control",1,1.6280014334998498
"Control",1,1.6855527879287542
"Control",1,1.7509592868594281
"Control",1,1.8490716221090129
"Control",1,1.887833672153729
"Control",1,1.9143273435468235
"Control",1,1.9634027039970343
"Control",1,2.01486621468768
"Control",1,2.0512517057593436
"Control",1,2.0872675200300916
"Control",1,2.1227806792292845
"Control",1,2.1672439032816277
"Control",1,2.219035110833447
"Control",1,2.2573759247148164
"Control",1,2.2951811123745496
"Control",1,2.325834982776643
"Control",1,2.356488853178736
"Control",1,2.4048903165012447
"Control",1,2.4747559977680527
"Control",1,2.628454348499245
"Control",0,2.628454348499245
"ATTAC+AP C57",1,1.1669644093368685
"ATTAC+AP C57",1,1.7727088091590573
"ATTAC+AP C57",1,1.8443751109274542
"ATTAC+AP C57",1,1.8960612304545927
"ATTAC+AP C57",1,1.986650797785963
"ATTAC+AP C57",1,2.140264222260028
"ATTAC+AP C57",1,2.185047048079165
"ATTAC+AP C57",1,2.226352551120965
"ATTAC+AP C57",1,2.2658285937130813
"ATTAC+AP C57",1,2.3562115554838714
"ATTAC+AP C57",1,2.3690899283247964
"ATTAC+AP C57",1,2.3849335804765315
"ATTAC+AP C57",1,2.405365650359463
"ATTAC+AP C57",1,2.4260892764480655
"ATTAC+AP C57",1,2.447210930544978
"ATTAC+AP C57",1,2.4671474903222226
"ATTAC+AP C57",1,2.483327957295768
"ATTAC+AP C57",1,2.5017441169363903
"ATTAC+AP C57",1,2.53002248795256
"ATTAC+AP C57",1,2.557450960913838
"ATTAC+AP C57",1,2.581245801359786
"ATTAC+AP C57",1,2.6050406418057346
"ATTAC+AP C57",1,2.635069386146558
"ATTAC+AP C57",1,2.8275826904991685
"ATTAC+AP C57",0,2.8275826904991685
