"ATTAC+AP C57_m_Deursen_2016_Naturally occurring p16Ink4a-positive cells shorten healthy lifespan","death","age (years)"
"Control",1,1.0940919850736253
"Control",1,1.2644441033716527
"Control",1,1.299844849432755
"Control",1,1.3426535967666244
"Control",1,1.385932680882355
"Control",1,1.4160443095761255
"Control",1,1.4453227605942582
"Control",1,1.4705728925993704
"Control",1,1.4946936428723072
"Control",1,1.5207828433640216
"Control",1,1.5552442650951317
"Control",1,1.5897056868262416
"Control",1,1.6250565123825624
"Control",1,1.6604652698584124
"Control",1,1.6969733389323594
"Control",1,1.7334814080063063
"Control",1,1.835870091290959
"Control",1,1.915507398534868
"Control",1,1.9582985493095824
"Control",1,1.986900646647362
"Control",1,2.0155027439851416
"Control",1,2.1955619851407486
"Control",1,2.266731537257215
"Control",1,2.3142498243768137
"Control",1,2.3521250610528717
"Control",1,2.3868325787816653
"Control",1,2.422203731458856
"Control",1,2.5047235653545523
"Control",0,2.5047235653545523
"Control",0,2.5047235653545523
"ATTAC+AP C57",1,1.7405692272757949
"ATTAC+AP C57",1,1.858742824228787
"ATTAC+AP C57",1,1.8917765614765938
"ATTAC+AP C57",1,1.9586689141576317
"ATTAC+AP C57",1,2.012319687646859
"ATTAC+AP C57",1,2.0478947978033446
"ATTAC+AP C57",1,2.077543789596995
"ATTAC+AP C57",1,2.10763472072289
"ATTAC+AP C57",1,2.1499144552567593
"ATTAC+AP C57",1,2.186837938397108
"ATTAC+AP C57",1,2.217435554297346
"ATTAC+AP C57",1,2.3094198531300725
"ATTAC+AP C57",1,2.3355206784832743
"ATTAC+AP C57",1,2.361767782124482
"ATTAC+AP C57",1,2.388479372772073
"ATTAC+AP C57",1,2.4059802340073873
"ATTAC+AP C57",1,2.4144256284977614
"ATTAC+AP C57",1,2.4300865285033386
"ATTAC+AP C57",1,2.453554286003888
"ATTAC+AP C57",1,2.4866348785819694
"ATTAC+AP C57",1,2.514904408084681
"ATTAC+AP C57",1,2.5360616720992697
"ATTAC+AP C57",1,2.557218936113858
"ATTAC+AP C57",0,2.557218936113858
