"ATTAC+AP mix_f_Deursen_2016_Naturally occurring p16Ink4a-positive cells shorten healthy lifespan","death","age (years)"
"Control",1,0.9019277753367622
"Control",1,1.2313542406536646
"Control",1,1.3666225107845562
"Control",1,1.4070820591340918
"Control",1,1.5148175777683037
"Control",1,1.543684313640936
"Control",1,1.572526507126063
"Control",1,1.594687672642181
"Control",1,1.6168488381582993
"Control",1,1.637264552554103
"Control",1,1.6669685994279315
"Control",1,1.7005489097173108
"Control",1,1.7494682589407293
"Control",1,1.7812540897043272
"Control",1,1.813428283738762
"Control",1,1.9181698942123042
"Control",1,2.0048085096002506
"Control",1,2.0634952914930222
"Control",1,2.1325756751395812
"Control",1,2.2062741056035526
"Control",1,2.220964604547582
"Control",1,2.250091271560323
"Control",1,2.3152899324241565
"Control",1,2.3560657926512087
"Control",1,2.6039102982904154
"ATTAC+AP mix",1,1.445501297721542
"ATTAC+AP mix",1,1.503299247004819
"ATTAC+AP mix",1,1.6223010421713668
"ATTAC+AP mix",1,1.6430076475864785
"ATTAC+AP mix",1,1.6637142530015898
"ATTAC+AP mix",1,1.7843282296603356
"ATTAC+AP mix",1,1.8737300147339004
"ATTAC+AP mix",1,1.9559580359229134
"ATTAC+AP mix",1,1.9729622614726454
"ATTAC+AP mix",1,1.989966487022378
"ATTAC+AP mix",1,2.00697071257211
"ATTAC+AP mix",1,2.0479262479187184
"ATTAC+AP mix",1,2.091896674380487
"ATTAC+AP mix",1,2.1004293270703256
"ATTAC+AP mix",1,2.1089619797601644
"ATTAC+AP mix",1,2.134758782621097
"ATTAC+AP mix",1,2.166172406221043
"ATTAC+AP mix",1,2.276093908299722
"ATTAC+AP mix",1,2.2901057150832256
"ATTAC+AP mix",1,2.3041175218667287
"ATTAC+AP mix",1,2.317025214569865
"ATTAC+AP mix",1,2.3295403031107904
"ATTAC+AP mix",1,2.342055391651716
"ATTAC+AP mix",1,2.3643066956977155
"ATTAC+AP mix",1,2.406627133853145
"ATTAC+AP mix",1,2.4505446750147604
"ATTAC+AP mix",1,2.501424996363384
"ATTAC+AP mix",1,2.561055556796421
"ATTAC+AP mix",1,2.603207735813179
"ATTAC+AP mix",1,2.6097712055039426
"ATTAC+AP mix",1,2.616316945749472
"ATTAC+AP mix",1,2.6227712103571776
"ATTAC+AP mix",1,2.629225474964883
"ATTAC+AP mix",1,2.635679739572588
"ATTAC+AP mix",1,2.6446114643609815
"ATTAC+AP mix",1,2.6601559916115587
