"ATTAC+AP mix_m_Deursen_2016_Naturally occurring p16Ink4a-positive cells shorten healthy lifespan","death","age (years)"
"Control",1,0.5740817059588144
"Control",1,1.0709659210362192
"Control",1,1.1113629337257076
"Control",1,1.1575284464083486
"Control",1,1.2166040200962913
"Control",1,1.2713434261724934
"Control",1,1.3240622171083483
"Control",1,1.374477233592009
"Control",1,1.4009473212798667
"Control",1,1.4197351698916432
"Control",1,1.443747253273128
"Control",1,1.4696702800783918
"Control",1,1.5662441595121175
"Control",1,1.658343203788221
"Control",1,1.684699649287124
"Control",1,1.7089474914205953
"Control",1,1.7295128765671945
"Control",1,1.7500782617137942
"Control",1,1.8071084967840134
"Control",1,1.8417443061662286
"Control",1,1.8677940091150407
"Control",1,1.8984166208381015
"Control",1,1.933727911177796
"Control",1,1.9939059343344525
"Control",1,2.102556038709434
"Control",1,2.5171589821172806
"Control",1,2.52968305094621
"Control",1,2.542207119775139
"Control",1,2.5547311886040687
"Control",1,2.564963924667523
"ATTAC+AP mix",1,1.2420767196014941
"ATTAC+AP mix",1,1.3516105465473367
"ATTAC+AP mix",1,1.4089177676512923
"ATTAC+AP mix",1,1.4737177632750373
"ATTAC+AP mix",1,1.6712001971840975
"ATTAC+AP mix",1,1.745208087385946
"ATTAC+AP mix",1,1.9715907171668405
"ATTAC+AP mix",1,1.9995277371257787
"ATTAC+AP mix",1,2.0281853166552994
"ATTAC+AP mix",1,2.0585978057999696
"ATTAC+AP mix",1,2.093922643713509
"ATTAC+AP mix",1,2.1383396062940294
"ATTAC+AP mix",1,2.2059851698756927
"ATTAC+AP mix",1,2.285195011037692
"ATTAC+AP mix",1,2.3589833177551127
"ATTAC+AP mix",1,2.5516317676578892
"ATTAC+AP mix",1,2.5736675448305366
"ATTAC+AP mix",1,2.600599112879135
"ATTAC+AP mix",1,2.6359749196865274
"ATTAC+AP mix",1,2.6938685290415942
"ATTAC+AP mix",0,2.6938685290415942
