"CR_d02h_m_Takahashi_2022_Circadian alignment of early onset caloric ","death","age (years)"
"Control",1,1.3031175771320123
"Control",1,1.4557518382244123
"Control",1,1.5113017884133397
"Control",1,1.5149217430624327
"Control",1,1.541490178398622
"Control",1,1.5657480331664018
"Control",1,1.5816862671389114
"Control",1,1.5982585874092181
"Control",1,1.6306452337759443
"Control",1,1.7291541839154934
"Control",1,1.7826737627226852
"Control",1,1.8106470038909501
"Control",1,1.8279196057106954
"Control",1,1.8296303868261454
"Control",1,1.8538663394077135
"Control",1,1.8967683345945061
"Control",1,1.9685141922270664
"Control",1,2.0031484250997944
"Control",1,2.0428837685590713
"Control",1,2.0929556939755765
"Control",1,2.149131482417415
"Control",1,2.1971010939021713
"Control",1,2.2150935481571516
"Control",1,2.2221839172617743
"Control",1,2.2379363367607596
"Control",1,2.2613308211988463
"Control",1,2.3530397545378605
"Control",1,2.41802456193703
"Control",1,2.425640476929607
"Control",1,2.4382888192976346
"Control",1,2.4509657564408136
"Control",1,2.4543603845198767
"Control",1,2.45916957696144
"Control",1,2.4710027955598726
"Control",1,2.5052344954855825
"Control",1,2.57394470960343
"Control",1,2.608404770608849
"Control",1,2.6861896962497727
"Control",1,2.7174905050986387
"Control",1,2.870078611920629
"Control",1,2.913506162874641
"Control",1,3.000238705481074
"CR_d02h",1,1.174974600503812
"CR_d02h",1,1.4211690091616638
"CR_d02h",1,1.6227032729910815
"CR_d02h",1,1.8606276119647924
"CR_d02h",1,1.966004278360146
"CR_d02h",1,2.0008222325017475
"CR_d02h",1,2.0153662725069634
"CR_d02h",1,2.0352879313595014
"CR_d02h",1,2.059674086500109
"CR_d02h",1,2.154488827995914
"CR_d02h",1,2.2206918673535747
"CR_d02h",1,2.287367898704264
"CR_d02h",1,2.309126492458179
"CR_d02h",1,2.32297777642645
"CR_d02h",1,2.4381122757994493
"CR_d02h",1,2.491486368832694
"CR_d02h",1,2.548124953579175
"CR_d02h",1,2.6157771104733247
"CR_d02h",1,2.6905226457656473
"CR_d02h",1,2.710501960303232
"CR_d02h",1,2.716264715303087
"CR_d02h",1,2.7184650479771477
"CR_d02h",1,2.724568390622218
"CR_d02h",1,2.7380680866148666
"CR_d02h",1,2.7669660299254604
"CR_d02h",1,2.8061554468804117
"CR_d02h",1,2.89835262202606
"CR_d02h",1,2.928175866366319
"CR_d02h",1,2.981307329815099
"CR_d02h",1,3.0243010499605276
"CR_d02h",1,3.1476634915165818
"CR_d02h",1,3.209939667767048
"CR_d02h",1,3.269182227195385
"CR_d02h",1,3.296732936159577
"CR_d02h",1,3.4909558283329236
