"CR_n02h_m_Takahashi_2022_Circadian alignment of early onset caloric ","death","age (years)"
"Control",1,1.3031175771320123
"Control",1,1.4557518382244123
"Control",1,1.5113017884133397
"Control",1,1.5149217430624327
"Control",1,1.541490178398622
"Control",1,1.5657480331664018
"Control",1,1.5816862671389114
"Control",1,1.5982585874092181
"Control",1,1.6306452337759443
"Control",1,1.7291541839154934
"Control",1,1.7826737627226852
"Control",1,1.8106470038909501
"Control",1,1.8279196057106954
"Control",1,1.8296303868261454
"Control",1,1.8538663394077135
"Control",1,1.8967683345945061
"Control",1,1.9685141922270664
"Control",1,2.0031484250997944
"Control",1,2.0428837685590713
"Control",1,2.0929556939755765
"Control",1,2.149131482417415
"Control",1,2.1971010939021713
"Control",1,2.2150935481571516
"Control",1,2.2221839172617743
"Control",1,2.2379363367607596
"Control",1,2.2613308211988463
"Control",1,2.3530397545378605
"Control",1,2.41802456193703
"Control",1,2.425640476929607
"Control",1,2.4382888192976346
"Control",1,2.4509657564408136
"Control",1,2.4543603845198767
"Control",1,2.45916957696144
"Control",1,2.4710027955598726
"Control",1,2.5052344954855825
"Control",1,2.57394470960343
"Control",1,2.608404770608849
"Control",1,2.6861896962497727
"Control",1,2.7174905050986387
"Control",1,2.870078611920629
"Control",1,2.913506162874641
"Control",1,3.000238705481074
"CR_n02h",1,1.4997243621418237
"CR_n02h",1,1.8704610471841756
"CR_n02h",1,2.0606064642632864
"CR_n02h",1,2.128787911125621
"CR_n02h",1,2.1765380378941868
"CR_n02h",1,2.270745605182117
"CR_n02h",1,2.5284437145168717
"CR_n02h",1,2.5489660242702867
"CR_n02h",1,2.5668351818863258
"CR_n02h",1,2.6073504111045933
"CR_n02h",1,2.6415597973308187
"CR_n02h",1,2.6926402841898467
"CR_n02h",1,2.7082045523120053
"CR_n02h",1,2.7323828299612676
"CR_n02h",1,2.775667782007041
"CR_n02h",1,2.8348650472590124
"CR_n02h",1,2.880754522697467
"CR_n02h",1,2.919183574985111
"CR_n02h",1,2.9639219660363443
"CR_n02h",1,3.028186699164967
"CR_n02h",1,3.0613189321077314
"CR_n02h",1,3.09924427784275
"CR_n02h",1,3.1201307838725474
"CR_n02h",1,3.145637284598984
"CR_n02h",1,3.1697655225153882
"CR_n02h",1,3.180537945591015
"CR_n02h",1,3.1922402658975484
"CR_n02h",1,3.2125500440899475
"CR_n02h",1,3.240886107578343
"CR_n02h",1,3.2646991739287405
"CR_n02h",1,3.282245063244039
"CR_n02h",1,3.3000165350615425
"CR_n02h",1,3.3216057129250967
"CR_n02h",1,3.34759045974282
"CR_n02h",1,3.5053451655683547
