"CR_s_m_Takahashi_2022_Circadian alignment of early onset caloric ","death","age (years)"
"Control",1,1.3031175771320123
"Control",1,1.4557518382244123
"Control",1,1.5113017884133397
"Control",1,1.5149217430624327
"Control",1,1.541490178398622
"Control",1,1.5657480331664018
"Control",1,1.5816862671389114
"Control",1,1.5982585874092181
"Control",1,1.6306452337759443
"Control",1,1.7291541839154934
"Control",1,1.7826737627226852
"Control",1,1.8106470038909501
"Control",1,1.8279196057106954
"Control",1,1.8296303868261454
"Control",1,1.8538663394077135
"Control",1,1.8967683345945061
"Control",1,1.9685141922270664
"Control",1,2.0031484250997944
"Control",1,2.0428837685590713
"Control",1,2.0929556939755765
"Control",1,2.149131482417415
"Control",1,2.1971010939021713
"Control",1,2.2150935481571516
"Control",1,2.2221839172617743
"Control",1,2.2379363367607596
"Control",1,2.2613308211988463
"Control",1,2.3530397545378605
"Control",1,2.41802456193703
"Control",1,2.425640476929607
"Control",1,2.4382888192976346
"Control",1,2.4509657564408136
"Control",1,2.4543603845198767
"Control",1,2.45916957696144
"Control",1,2.4710027955598726
"Control",1,2.5052344954855825
"Control",1,2.57394470960343
"Control",1,2.608404770608849
"Control",1,2.6861896962497727
"Control",1,2.7174905050986387
"Control",1,2.870078611920629
"Control",1,2.913506162874641
"Control",1,3.000238705481074
"CR_s",1,1.5237350676606092
"CR_s",1,1.5674758891121605
"CR_s",1,1.5965999827205106
"CR_s",1,1.6250355716925702
"CR_s",1,1.696419798815498
"CR_s",1,1.8505137525931565
"CR_s",1,1.9043595396536819
"CR_s",1,1.9412307715567823
"CR_s",1,1.992062104659888
"CR_s",1,2.0628970923219208
"CR_s",1,2.111086812159081
"CR_s",1,2.180078291053976
"CR_s",1,2.1903540033127196
"CR_s",1,2.2570333686584223
"CR_s",1,2.287637823073919
"CR_s",1,2.3130830800315194
"CR_s",1,2.3609479163784055
"CR_s",1,2.410428047009381
"CR_s",1,2.4493687351497497
"CR_s",1,2.560553392089351
"CR_s",1,2.585145343903522
"CR_s",1,2.6252588848520695
"CR_s",1,2.7007505791549904
"CR_s",1,2.759746721873696
"CR_s",1,2.761895682057457
"CR_s",1,2.764044642241218
"CR_s",1,2.7797882143432715
"CR_s",1,2.8038565112803724
"CR_s",1,2.825663169841119
"CR_s",1,2.8639752395205913
"CR_s",1,2.9723989579078456
"CR_s",1,3.0222930910352463
"CR_s",1,3.047765619040362
"CR_s",1,3.0965903908085144
"CR_s",1,3.2461611125156304
