"D+Q_mix_Kirkland_2018_Senolytics improve physical function and increase lifespan in old age","death","age (years)"
"Control",1,2.0570589598191704
"Control",1,2.0863480080599133
"Control",1,2.1156370563006552
"Control",1,2.130604047066737
"Control",1,2.1449387689128536
"Control",1,2.1592734907589697
"Control",1,2.173608212605086
"Control",1,2.1940847788001623
"Control",1,2.217991007236728
"Control",1,2.241700500972729
"Control",1,2.2621503924351907
"Control",1,2.2826002838976525
"Control",1,2.3005147421194994
"Control",1,2.3108326273454898
"Control",1,2.3211505125714793
"Control",1,2.331468397797469
"Control",1,2.341786283023459
"Control",1,2.351945156352452
"Control",1,2.360738186409702
"Control",1,2.3695312164669518
"Control",1,2.378324246524201
"Control",1,2.3871172765814506
"Control",1,2.3958356661646363
"Control",1,2.403539372315514
"Control",1,2.411243078466391
"Control",1,2.4189467846172685
"Control",1,2.426650490768145
"Control",1,2.4356531361316396
"Control",1,2.4480768248865035
"Control",1,2.4605005136413673
"Control",1,2.472924202396231
"Control",1,2.486045481113204
"Control",1,2.501353203116409
"Control",1,2.5166609251196146
"Control",1,2.53196864712282
"Control",1,2.5436287696235693
"Control",1,2.5535884189294893
"Control",1,2.5635480682354097
"Control",1,2.57350771754133
"Control",1,2.58346736684725
"Control",1,2.5923413518471725
"Control",1,2.6009344918564485
"Control",1,2.6095276318657246
"Control",1,2.618120771875001
"Control",1,2.626713911884277
"Control",1,2.637062540862278
"Control",1,2.6515584682579836
"Control",1,2.66605439565369
"Control",1,2.6805503230493954
"Control",1,2.693872350458006
"Control",1,2.7069748255163395
"Control",1,2.7200773005746735
"Control",1,2.7331797756330074
"Control",1,2.745563309343264
"Control",1,2.7570908164992214
"Control",1,2.768618323655179
"Control",1,2.7801458308111364
"Control",1,2.791673337967094
"Control",1,2.803202495692894
"Control",1,2.8147322803765067
"Control",1,2.8262620650601193
"Control",1,2.837791849743732
"Control",1,2.849321634427345
"Control",1,2.8636625033928227
"Control",1,2.8784381939028005
"Control",1,2.893213884412778
"Control",1,2.907989574922756
"Control",1,2.9335439702146955
"Control",1,2.9641893674118966
"Control",1,2.994096807062255
"Control",1,3.0236302865478444
"Control",1,3.0554540916472
"Control",1,3.0889905171859326
"Control",0,3.0889905171859326
"Control",0,3.0889905171859326
"D+Q",1,2.1440822757557036
"D+Q",1,2.1796752656325333
"D+Q",1,2.201024742839348
"D+Q",1,2.2223742200461634
"D+Q",1,2.247226947578464
"D+Q",1,2.272704549321869
"D+Q",1,2.293155555117144
"D+Q",1,2.306757531495818
"D+Q",1,2.320359507874493
"D+Q",1,2.333961484253167
"D+Q",1,2.34924109009072
"D+Q",1,2.3668893496243557
"D+Q",1,2.384537609157991
"D+Q",1,2.4021806982390266
"D+Q",1,2.4198131715771973
"D+Q",1,2.4374456449153685
"D+Q",1,2.4550781182535397
"D+Q",1,2.469681280241091
"D+Q",1,2.483620057030397
"D+Q",1,2.4975588338197032
"D+Q",1,2.5114976106090094
"D+Q",1,2.522758568421458
"D+Q",1,2.5333623692136804
"D+Q",1,2.5439661700059037
"D+Q",1,2.554569970798127
"D+Q",1,2.5675729532098313
"D+Q",1,2.5830689495516586
"D+Q",1,2.5985649458934863
"D+Q",1,2.616239472466976
"D+Q",1,2.645072048127207
"D+Q",1,2.6725794239770555
"D+Q",1,2.6829268579106476
"D+Q",1,2.69327429184424
"D+Q",1,2.703621725777832
"D+Q",1,2.7139691597114246
"D+Q",1,2.722807392545422
"D+Q",1,2.730191134042209
"D+Q",1,2.7375748755389955
"D+Q",1,2.744958617035782
"D+Q",1,2.752342358532568
"D+Q",1,2.7643068631627608
"D+Q",1,2.7774281771606186
"D+Q",1,2.7905494911584774
"D+Q",1,2.8036708051563357
"D+Q",1,2.8165766960539296
"D+Q",1,2.8294335476970924
"D+Q",1,2.8422903993402553
"D+Q",1,2.855147250983418
"D+Q",1,2.869178889927895
"D+Q",1,2.883464506045317
"D+Q",1,2.8977501221627384
"D+Q",1,2.9141011065935225
"D+Q",1,2.9390252738254126
"D+Q",1,2.9639494410573026
"D+Q",1,2.9837887420326195
"D+Q",1,3.001599417397224
"D+Q",1,3.0159536834435965
"D+Q",1,3.019922110837707
"D+Q",1,3.0238905382318175
"D+Q",1,3.027858965625928
"D+Q",1,3.0318273930200377
"D+Q",1,3.043049767773165
"D+Q",1,3.0550696379321534
"D+Q",1,3.0670895080911413
"D+Q",1,3.0835607998656234
"D+Q",1,3.1068105739462393
"D+Q",1,3.1300603480268543
"D+Q",1,3.1539163834858774
"D+Q",1,3.1779874830130934
"D+Q",1,3.208223885447839
