"Fisetin_mix_Niedernhofer_2018_Fisetin is a senotherapeutic that extends health and lifespan","death","age (years)"
"Control",1,1.7350686316581958
"Control",1,1.9485465609785
"Control",1,2.009219330156438
"Control",1,2.0439423900872757
"Control",1,2.0717372534073166
"Control",1,2.103127366579504
"Control",1,2.2259058433705885
"Control",1,2.231344985147059
"Fisetin",1,2.2437967306842768
"Fisetin",1,2.3255016716238037
"Fisetin",1,2.3466365093254673
"Fisetin",1,2.4171105079411617
"Fisetin",1,2.417669311498866
"Fisetin",1,2.4230612974295362
"Fisetin",1,2.46368383270997
"Fisetin",1,2.4642426592422346
