"HF_m_Verdin_2017_Ketogenic Diet Reduces Midlife Mortality and Improves Memory in Aging Mice","death","age (years)"
"Control",1,1.0989558984391832
"Control",1,1.170120470803526
"Control",1,1.230713856716423
"Control",1,1.2778758236939545
"Control",1,1.4553569121713636
"Control",1,1.6002016643501125
"Control",1,1.6652993624242085
"Control",1,1.6901966276014062
"Control",1,1.7191971614099042
"Control",1,1.8115527263491076
"Control",1,1.916951036966654
"Control",1,1.9698143272783601
"Control",1,2.0273520130458484
"Control",1,2.0795678285748433
"Control",1,2.1264163058955345
"Control",1,2.164399662520363
"Control",1,2.17188082774887
"Control",1,2.1793619929773773
"Control",1,2.1958106207780967
"Control",1,2.235189433001284
"Control",1,2.2860911722206723
"Control",1,2.3055569729202285
"Control",1,2.32274471911083
"Control",1,2.339670983188653
"Control",1,2.3551390180160316
"Control",1,2.3706070528434093
"Control",1,2.3857018154883454
"Control",1,2.3983921141761
"Control",1,2.411082412863855
"Control",1,2.4237727115516097
"Control",1,2.4535896353279556
"Control",1,2.4881566522180627
"Control",1,2.529954588889231
"Control",1,2.556478748688196
"Control",1,2.579114762775711
"Control",1,2.6514055997854213
"Control",1,2.689478669911382
"Control",1,2.712461820316479
"Control",1,2.7256249896189333
"Control",1,2.738788158921387
"Control",1,2.747281925834133
"Control",1,2.755740597192214
"Control",1,2.7622868974501875
"Control",1,2.7658379005245735
"Control",1,2.769408607578203
"Control",1,2.7730440611036578
"Control",1,2.7766795146291114
"Control",1,2.798312144208015
"Control",1,2.8451943663066426
"Control",1,2.853478789251365
"Control",1,2.861763212196087
"Control",1,2.877292022027401
"Control",1,2.8949951368873434
"Control",1,2.909575683998284
"Control",1,2.922248322243592
"Control",1,2.932610187083569
"Control",1,2.9421580049725087
"Control",1,2.9533446577811993
"Control",1,2.9705039889289324
"Control",1,2.9876633200766647
"HF",1,1.3438557559494622
"HF",1,1.3852295755859918
"HF",1,1.4755264821254253
"HF",1,1.507724127029605
"HF",1,1.5310073774519497
"HF",1,1.8651610018598945
"HF",1,1.912506163132577
"HF",1,1.938123690877469
"HF",1,1.9620242709464228
"HF",1,1.9771010703913787
"HF",1,2.0938574391536164
"HF",1,2.113026507247859
"HF",1,2.141148450742406
"HF",1,2.1722830323804185
"HF",1,2.196093774898992
"HF",1,2.214432565347578
"HF",1,2.2494838610297676
"HF",1,2.334014054498839
"HF",1,2.394777810478904
"HF",1,2.4159840234913683
"HF",1,2.4175905958146333
"HF",1,2.4191971681378983
"HF",1,2.453597664188355
"HF",1,2.7008618821835904
"HF",1,2.8434799026102113
