"IGF-1RmAB_f_Huffman_2018_Late-life targeting of the IGF-1 receptor improves","death","age (years)"
"Control",1,1.0415667245604114
"Control",1,1.6424396296865618
"Control",1,1.6562736450158384
"Control",1,1.6901252918590959
"Control",1,1.7086889329149844
"Control",1,1.7402234353266892
"Control",1,1.7869614222840822
"Control",1,1.8087906054141372
"Control",1,1.8612496664610985
"Control",1,1.8753086686303415
"Control",1,1.9957097354238063
"Control",1,2.045540280018748
"Control",1,2.069558267382015
"Control",1,2.0924219595282523
"Control",1,2.099221766952368
"Control",1,2.1029665044246353
"Control",1,2.106711241896903
"Control",1,2.120323425973509
"Control",1,2.1481299095400166
"Control",1,2.2196190787965633
"Control",1,2.2394525532515672
"Control",1,2.3002865837990667
"Control",1,2.3468355897519646
"Control",1,2.3656125105092998
"Control",1,2.390618317604274
"Control",1,2.4155379251622686
"Control",1,2.437328340852163
"Control",1,2.451174335594371
"Control",1,2.4638026017161767
"Control",1,2.4949013727317
"Control",1,2.5141367324962647
"Control",1,2.528627053302704
"Control",1,2.5430454766343815
"Control",1,2.5617153808913375
"Control",1,2.578359258834173
"Control",1,2.588532601913734
"Control",1,2.599010512002966
"Control",1,2.624404257575256
"Control",1,2.65505616861265
"Control",1,2.701495865020196
"Control",1,2.7650131332417973
"Control",1,2.848084218790098
"Control",1,2.931986206720315
"Control",1,2.9957847541545326
"IGF-1RmAB",1,1.7916209315889344
"IGF-1RmAB",1,1.854428579503415
"IGF-1RmAB",1,1.911451576955658
"IGF-1RmAB",1,1.9295051264076573
"IGF-1RmAB",1,1.9374056662903063
"IGF-1RmAB",1,1.994366229233736
"IGF-1RmAB",1,2.0339808312188516
"IGF-1RmAB",1,2.046701772192475
"IGF-1RmAB",1,2.134841160705693
"IGF-1RmAB",1,2.209264704245763
"IGF-1RmAB",1,2.2266783075970635
"IGF-1RmAB",1,2.243334127490202
"IGF-1RmAB",1,2.2638576972019395
"IGF-1RmAB",1,2.2884165293980474
"IGF-1RmAB",1,2.3467690854730674
"IGF-1RmAB",1,2.372701862798765
"IGF-1RmAB",1,2.4115922032405654
"IGF-1RmAB",1,2.437589737298694
"IGF-1RmAB",1,2.460974908609481
"IGF-1RmAB",1,2.508356326704615
"IGF-1RmAB",1,2.5240916144934142
"IGF-1RmAB",1,2.54563761346317
"IGF-1RmAB",1,2.5753487120996645
"IGF-1RmAB",1,2.6077925652463936
"IGF-1RmAB",1,2.6190688685959924
"IGF-1RmAB",1,2.6287671994412163
"IGF-1RmAB",1,2.63574983122983
"IGF-1RmAB",1,2.6605521324495385
"IGF-1RmAB",1,2.7070578804009044
"IGF-1RmAB",1,2.722063054240647
"IGF-1RmAB",1,2.7287295969938796
"IGF-1RmAB",1,2.733270950287023
"IGF-1RmAB",1,2.737474150295134
"IGF-1RmAB",1,2.7452819778992263
"IGF-1RmAB",1,2.75709699652748
"IGF-1RmAB",1,2.766170472864553
"IGF-1RmAB",1,2.7745917742094535
"IGF-1RmAB",1,2.7802409524868827
"IGF-1RmAB",1,2.7834392124672918
"IGF-1RmAB",1,2.786637472447701
"IGF-1RmAB",1,2.79781717639343
"IGF-1RmAB",1,2.837802572219652
"IGF-1RmAB",1,3.0628605229916417
"IGF-1RmAB",1,3.1528344527895724
