"KD_m_Lopez-Dominguez_2017_A Ketogenic Diet Extends Longevity and Healthspan in Adult Mice","death","age (years)"
"Control",1,1.7073600685584571
"Control",1,1.809938442152957
"Control",1,1.869673043785803
"Control",1,1.89187202341597
"Control",1,1.9126490941759247
"Control",1,1.9725247073624137
"Control",1,2.0456484606748426
"Control",1,2.0696552059712787
"Control",1,2.1202903283520134
"Control",1,2.1730448046431783
"Control",1,2.224576265981735
"Control",1,2.2497451039757554
"Control",1,2.2694515764327625
"Control",1,2.284016770259498
"Control",1,2.3040439889417694
"Control",1,2.3201540532978955
"Control",1,2.335526067305578
"Control",1,2.3510893012656027
"Control",1,2.3801806391466678
"Control",1,2.4032270180002255
"Control",1,2.4131359193347928
"Control",1,2.422735012757314
"Control",1,2.4405656851838162
"Control",1,2.4766134183641357
"Control",1,2.5155114042943616
"Control",1,2.529670487293987
"Control",1,2.54909648998534
"Control",1,2.580097427700923
"Control",1,2.634135692205896
"Control",1,2.686068812548386
"Control",1,2.6913466810104736
"Control",1,2.711559464493903
"Control",1,2.725623301425594
"Control",1,2.7303943348265807
"Control",1,2.7625962738530347
"Control",1,2.7771037559693683
"Control",1,2.800266322542043
"Control",1,2.827969083555315
"Control",1,2.87068762892292
"Control",1,2.961708843311939
"Control",1,3.0134306670277424
"Control",1,3.0243414935154904
"Control",1,3.2334657290543043
"KD",1,1.2907643787991974
"KD",1,1.794643131998646
"KD",1,1.843708413949672
"KD",1,1.9125075682821515
"KD",1,1.96533503811276
"KD",1,1.9908268370589588
"KD",1,2.0142230696606465
"KD",1,2.099048143698556
"KD",1,2.2301445358394396
"KD",1,2.2937142947000217
"KD",1,2.3757224252999336
"KD",1,2.448407363381219
"KD",1,2.4673708797212197
"KD",1,2.5088944195649074
"KD",1,2.5434369704073867
"KD",1,2.568981865129914
"KD",1,2.583205631199389
"KD",1,2.6110145179993625
"KD",1,2.6309786676210023
"KD",1,2.648811039100939
"KD",1,2.700813482118825
"KD",1,2.742535593422023
"KD",1,2.7672240157002186
"KD",1,2.7942058248205086
"KD",1,2.808738465145311
"KD",1,2.8273050719332944
"KD",1,2.841361312878082
"KD",1,2.846470641707184
"KD",1,2.851579970536285
"KD",1,2.8594078183496268
"KD",1,2.9164164859266597
"KD",1,2.9363949840300356
"KD",1,2.9505488434153877
"KD",1,2.9703975870948156
"KD",1,3.0782968901575827
"KD",1,3.1319745661584477
"KD",1,3.1612130298637684
"KD",1,3.204451024454333
"KD",1,3.2377973594220575
"KD",1,3.250838573343415
"KD",1,3.2590762592347873
"KD",1,3.2727093177285824
