"KD_mix_Maratos-Flier_2015_Adaptive changes in amino acid metabolism permit","death","age (years)"
"Control",1,0.20127746380817835
"Control",1,0.5238232787026236
"Control",1,0.5467999577907933
"Control",1,0.5945785110436737
"Control",1,0.6026243370108815
"Control",1,0.9560172211825234
"Control",1,1.3730626560164596
"Control",1,1.5873866069176674
"Control",1,1.6056879742206682
"Control",1,1.622925770396774
"Control",1,1.6383369987679965
"Control",1,1.6537482271392188
"Control",1,1.669159455510441
"Control",1,1.684570683881663
"Control",1,1.6968665831485767
"Control",1,1.7013237710686437
"Control",1,1.7057809589887107
"Control",1,1.7102381469087775
"Control",1,1.7146953348288445
"Control",1,1.7191525227489115
"Control",1,1.7236097106689783
"Control",1,1.728066898589045
"Control",1,1.7656248014108775
"Control",1,1.792997153259459
"Control",1,1.8178958690189784
"Control",1,1.842794584778498
"Control",1,1.8676933005380176
"Control",1,1.8925920162975374
"Control",1,2.2169895169667018
"Control",1,2.232802713923095
"Control",1,2.248615910879488
"Control",1,2.26442910783588
"Control",1,2.2802423047922726
"Control",1,2.2960555017486657
"Control",1,2.3157079404899354
"Control",1,2.3366237979791253
"Control",0,2.3366237979791253
"Control",0,2.3366237979791253
"Control",0,2.3366237979791253
"KD",1,0.852320643721729
"KD",1,1.0453227228575686
"KD",1,1.1337700778628563
"KD",1,1.2103974939764888
"KD",1,1.247671207503481
"KD",1,1.2813392642636559
"KD",1,1.3136946081728367
"KD",1,1.4920135822503218
"KD",1,1.5433502719431755
"KD",1,1.593450042054631
"KD",1,1.636205520286259
"KD",1,1.6604997532316257
"KD",1,1.6847939861769927
"KD",1,1.8370037157400536
"KD",1,1.8445131601535132
"KD",1,1.852022604566973
"KD",1,1.8595320489804326
"KD",1,1.867041493393892
"KD",1,1.9133021106324601
"KD",1,2.176963144252952
"KD",1,2.192126554714134
"KD",1,2.207289965175317
"KD",1,2.3034855783238393
"KD",1,2.325364589222047
"KD",1,2.3442076117618456
"KD",1,2.357233021544864
"KD",1,2.3702584313278825
"KD",1,2.383283841110901
"KD",0,2.383283841110901
"KD",0,2.383283841110901
