"LCD_m_Lopez-Dominguez_2017_A Ketogenic Diet Extends Longevity and Healthspan in Adult Mice","death","age (years)"
"Control",1,1.7073600685584571
"Control",1,1.809938442152957
"Control",1,1.869673043785803
"Control",1,1.89187202341597
"Control",1,1.9126490941759247
"Control",1,1.9725247073624137
"Control",1,2.0456484606748426
"Control",1,2.0696552059712787
"Control",1,2.1202903283520134
"Control",1,2.1730448046431783
"Control",1,2.224576265981735
"Control",1,2.2497451039757554
"Control",1,2.2694515764327625
"Control",1,2.284016770259498
"Control",1,2.3040439889417694
"Control",1,2.3201540532978955
"Control",1,2.335526067305578
"Control",1,2.3510893012656027
"Control",1,2.3801806391466678
"Control",1,2.4032270180002255
"Control",1,2.4131359193347928
"Control",1,2.422735012757314
"Control",1,2.4405656851838162
"Control",1,2.4766134183641357
"Control",1,2.5155114042943616
"Control",1,2.529670487293987
"Control",1,2.54909648998534
"Control",1,2.580097427700923
"Control",1,2.634135692205896
"Control",1,2.686068812548386
"Control",1,2.6913466810104736
"Control",1,2.711559464493903
"Control",1,2.725623301425594
"Control",1,2.7303943348265807
"Control",1,2.7625962738530347
"Control",1,2.7771037559693683
"Control",1,2.800266322542043
"Control",1,2.827969083555315
"Control",1,2.87068762892292
"Control",1,2.961708843311939
"Control",1,3.0134306670277424
"Control",1,3.0243414935154904
"Control",1,3.2334657290543043
"LCD",1,1.5717587053954045
"LCD",1,2.025991991727999
"LCD",1,2.096272892990649
"LCD",1,2.14489701269774
"LCD",1,2.2512570675522077
"LCD",1,2.267445632255966
"LCD",1,2.3052120936604017
"LCD",1,2.316553285122651
"LCD",1,2.335412748476897
"LCD",1,2.3648245624540762
"LCD",1,2.374560976719585
"LCD",1,2.3889314274828726
"LCD",1,2.4102016108272166
"LCD",1,2.4438828352360726
"LCD",1,2.4706411232119807
"LCD",1,2.4852205788828936
"LCD",1,2.4962055077109397
"LCD",1,2.5285627592625
"LCD",1,2.5512886192587336
"LCD",1,2.5638338771420313
"LCD",1,2.577585008283337
"LCD",1,2.5853654743217054
"LCD",1,2.5994986683801016
"LCD",1,2.6401321125808774
"LCD",1,2.6702132121144064
"LCD",1,2.6808207420194083
"LCD",1,2.706856326218541
"LCD",1,2.724949118780364
"LCD",1,2.7366668732403827
"LCD",1,2.751319126933708
"LCD",1,2.7877783782326486
"LCD",1,2.814409062786388
"LCD",1,2.8223911618992803
"LCD",1,2.8334876278166856
"LCD",1,2.880379789151269
"LCD",1,2.9429579271107755
"LCD",1,2.986896316399817
"LCD",1,3.0260755487786937
"LCD",1,3.1119334528567997
"LCD",1,3.136646562373521
"LCD",1,3.1846404598060416
"LCD",1,3.3246813791723904
