"LCKD_mix_Kume_2023_Ketone bodies A double-edged sword for mammalian life span","death","age (years)"
"Control",1,1.8381284276577432
"Control",1,1.9176809611559393
"Control",1,1.9954518284754859
"Control",1,2.146372096046544
"Control",1,2.2102583247088736
"Control",1,2.246743331031228
"Control",1,2.2552285260911407
"Control",1,2.2637137211510527
"Control",1,2.2816222597110607
"Control",1,2.350146519811742
"Control",1,2.44122038779538
"Control",1,2.5823973768701944
"Control",1,2.667118403105951
"Control",1,2.7367024295119986
"Control",1,2.786894910605912
"Control",1,2.82191769274926
"Control",1,2.903859807580852
"Control",1,2.9325766675054656
"Control",1,2.9912828892116954
"LCKD",1,1.7920416544402864
"LCKD",1,1.9007311750225588
"LCKD",1,1.9414300635533766
"LCKD",1,2.030537652998038
"LCKD",1,2.05529268987373
"LCKD",1,2.093265275382994
"LCKD",1,2.1090630605559437
"LCKD",1,2.1145505746108193
"LCKD",1,2.128518007424179
"LCKD",1,2.1646691799327127
"LCKD",1,2.196959029205222
"LCKD",1,2.2251974036525417
"LCKD",1,2.2515830236066456
"LCKD",1,2.2804389403584486
