"Rapa 4mo_f_Richardson_2014_Mice Fed Rapamycin Have an Increase in Lifespan Associated with Major Changes in the Liver Transcriptome","death","age (years)"
"Control",1,1.2076475306193715
"Control",1,1.4288471816170147
"Control",1,1.4961378668337433
"Control",1,1.5684733756199378
"Control",1,1.601895493790171
"Control",1,1.7292829174106905
"Control",1,1.8381330658569333
"Control",1,1.888663163532993
"Control",1,1.9155340193155423
"Control",1,1.938561952365071
"Control",1,1.9578969267219495
"Control",1,1.977231901078828
"Control",1,2.0070482906956393
"Control",1,2.0414796430734494
"Control",1,2.0759416952367613
"Control",1,2.1104262488718315
"Control",1,2.1461233595917206
"Control",1,2.183828088727571
"Control",1,2.2275450600087403
"Control",1,2.283372598927016
"Control",1,2.3099827863152993
"Control",1,2.33598050444884
"Control",1,2.365949928484389
"Control",1,2.3914521501898003
"Control",1,2.4033832042268126
"Control",1,2.4153142582638245
"Control",1,2.42906295941884
"Control",1,2.443210926637952
"Control",1,2.4612278091309676
"Control",1,2.4891441581077456
"Control",1,2.517849989801905
"Control",1,2.552843727549467
"Control",1,2.5782052353302385
"Control",1,2.58028515121964
"Control",1,2.582365067109041
"Control",1,2.586260571550569
"Control",1,2.595481445363774
"Control",1,2.604702319176978
"Control",1,2.6159757187897337
"Control",1,2.6273373162153195
"Control",1,2.6438574247349726
"Control",1,2.661541501746375
"Control",1,2.723052187068796
"Control",1,2.796904235126368
"Rapa 4mo",1,1.3643224057148384
"Rapa 4mo",1,1.6047687294975428
"Rapa 4mo",1,1.650001120280575
"Rapa 4mo",1,1.982776436384849
"Rapa 4mo",1,2.0629521263594515
"Rapa 4mo",1,2.134349716205076
"Rapa 4mo",1,2.2045827025468823
"Rapa 4mo",1,2.237768516636643
"Rapa 4mo",1,2.2607281066226124
"Rapa 4mo",1,2.27060628742738
"Rapa 4mo",1,2.2804844682321477
"Rapa 4mo",1,2.3805441626826913
"Rapa 4mo",1,2.408547758047442
"Rapa 4mo",1,2.4365513534121925
"Rapa 4mo",1,2.449854598708297
"Rapa 4mo",1,2.4627785920125804
"Rapa 4mo",1,2.4757025853168644
"Rapa 4mo",1,2.4880858729678526
"Rapa 4mo",1,2.5001491441242605
"Rapa 4mo",1,2.5122124152806684
"Rapa 4mo",1,2.5198501774979603
"Rapa 4mo",1,2.525788600631233
"Rapa 4mo",1,2.5312236550880627
"Rapa 4mo",1,2.5348936299273133
"Rapa 4mo",1,2.5385636047665643
"Rapa 4mo",1,2.5533315570067496
"Rapa 4mo",1,2.571753595385725
"Rapa 4mo",1,2.5906362575306114
"Rapa 4mo",1,2.6110605726577356
"Rapa 4mo",1,2.6314848877848602
"Rapa 4mo",1,2.646383632693523
"Rapa 4mo",1,2.6606247998114023
"Rapa 4mo",1,2.7147712020211854
"Rapa 4mo",1,2.8114805283183943
"Rapa 4mo",1,2.878074663068816
"Rapa 4mo",1,2.9284369192467388
"Rapa 4mo",1,2.9488847129717413
"Rapa 4mo",1,2.986546208577386
"Rapa 4mo",1,3.0363639082581
"Rapa 4mo",1,3.083996173725529
"Rapa 4mo",1,3.1432374483995256
"Rapa 4mo",1,3.1972555132424127
"Rapa 4mo",1,3.2094356934953376
"Rapa 4mo",1,3.250148265671786
