"Rapa 4mo_m_Richardson_2014_Mice Fed Rapamycin Have an Increase in Lifespan Associated with Major Changes in the Liver Transcriptome","death","age (years)"
"Control",1,0.716068346684784
"Control",1,1.0963883691542529
"Control",1,1.3515943644802189
"Control",1,1.568911348501198
"Control",1,1.7447759228556627
"Control",1,1.821088721351723
"Control",1,1.885239943355753
"Control",1,1.9394158404913129
"Control",1,1.953717940419239
"Control",1,1.9680200403471657
"Control",1,1.9965833809976692
"Control",1,2.0256609064566544
"Control",1,2.086530981201313
"Control",1,2.0964995499841352
"Control",1,2.1030694157568735
"Control",1,2.11548009080697
"Control",1,2.1294882955406584
"Control",1,2.1528206859144707
"Control",1,2.1728991647932494
"Control",1,2.180343315445217
"Control",1,2.187787466097185
"Control",1,2.2066452945150723
"Control",1,2.227095003241243
"Control",1,2.2452879582806347
"Control",1,2.2631614641680176
"Control",1,2.283908427802356
"Control",1,2.308702593003216
"Control",1,2.3362949174187793
"Control",1,2.3660433305210256
"Control",1,2.4128389186885744
"Control",1,2.47200477356913
"Control",1,2.5399923403844813
"Control",1,2.575376493158895
"Control",1,2.636691796605546
"Control",1,2.6750246549558017
"Control",1,2.692252711209044
"Control",1,2.712753535391945
"Control",1,2.74074616505012
"Control",1,2.8670898143720254
"Rapa 4mo",1,0.895780990257351
"Rapa 4mo",1,1.1510996394689013
"Rapa 4mo",1,1.2766174741712386
"Rapa 4mo",1,1.3964056244307537
"Rapa 4mo",1,1.4764131292124987
"Rapa 4mo",1,1.5013860678252506
"Rapa 4mo",1,1.516400149384753
"Rapa 4mo",1,1.712027343753659
"Rapa 4mo",1,1.8888333933025134
"Rapa 4mo",1,1.9805062028341858
"Rapa 4mo",1,2.086740702343733
"Rapa 4mo",1,2.1506532906638562
"Rapa 4mo",1,2.1754797044327363
"Rapa 4mo",1,2.2003061182016155
"Rapa 4mo",1,2.2151161321762167
"Rapa 4mo",1,2.2271526592129516
"Rapa 4mo",1,2.273975206959099
"Rapa 4mo",1,2.3183635215068237
"Rapa 4mo",1,2.3363894753697836
"Rapa 4mo",1,2.35435417775635
"Rapa 4mo",1,2.3701282391048077
"Rapa 4mo",1,2.3859023004532656
"Rapa 4mo",1,2.4288414590805196
"Rapa 4mo",1,2.4881864540527303
"Rapa 4mo",1,2.5383233981048448
"Rapa 4mo",1,2.5585509982200856
"Rapa 4mo",1,2.576113706079543
"Rapa 4mo",1,2.585125429697379
"Rapa 4mo",1,2.5941371533152155
"Rapa 4mo",1,2.6168822371695457
"Rapa 4mo",1,2.6419676502027545
"Rapa 4mo",1,2.6950018297387803
"Rapa 4mo",1,2.7531507465390455
"Rapa 4mo",1,2.810614240769359
"Rapa 4mo",1,2.8307621377071657
"Rapa 4mo",1,2.8509100346449725
"Rapa 4mo",1,2.8638677918032327
"Rapa 4mo",1,2.875881126257108
"Rapa 4mo",1,2.8963685539486623
"Rapa 4mo",1,2.926670640399253
"Rapa 4mo",1,2.9652538311138064
"Rapa 4mo",1,3.014179788617948
"Rapa 4mo",1,3.0955616034555256
"Rapa 4mo",1,3.1644729993135177
