"Rapa inj3m_f_Kaeberlein_2016_Transient rapamycin treatment can increase lifespan and healthspan in middle-aged mice","death","age (years)"
"Control",1,1.9399495217236062
"Control",1,2.0288613819679697
"Control",1,2.087277985086551
"Control",1,2.1323314262691375
"Control",1,2.1619504863240593
"Control",1,2.1795785713980846
"Control",1,2.1972066564721087
"Control",1,2.2196210963387295
"Control",1,2.245372135017045
"Control",1,2.306119745816782
"Control",1,2.366867356616519
"Control",1,2.427619911210943
"Control",1,2.488388849856611
"Control",1,2.539440381243324
"Control",1,2.58461155542839
"Control",1,2.6077147116501167
"Control",1,2.6236876614856994
"Control",1,2.709332715842089
"Control",1,2.7669638001611605
"Rapa inj3m",1,1.9772324449475873
"Rapa inj3m",1,2.084371623333182
"Rapa inj3m",1,2.123510005204783
"Rapa inj3m",1,2.160501879573467
"Rapa inj3m",1,2.1802083169365516
"Rapa inj3m",1,2.194663767569122
"Rapa inj3m",1,2.206602845215501
"Rapa inj3m",1,2.217890656137357
"Rapa inj3m",1,2.252515413263872
"Rapa inj3m",1,2.3008299596241786
"Rapa inj3m",1,2.370928951873046
"Rapa inj3m",1,2.4022885853437055
"Rapa inj3m",1,2.4239027731142144
"Rapa inj3m",1,2.461181009859436
"Rapa inj3m",1,2.5104506513282376
"Rapa inj3m",1,2.540702654629125
"Rapa inj3m",1,2.5704389783412367
"Rapa inj3m",1,2.637066578894575
"Rapa inj3m",1,2.7130905774388423
