"Rapa inj3m_m_Kaeberlein_2016_Transient rapamycin treatment can increase lifespan and healthspan in middle-aged mice","death","age (years)"
"Control",1,2.0044723686203008
"Control",1,2.0920594484769484
"Control",1,2.133548997651189
"Control",1,2.191527466834651
"Control",1,2.2595214203187064
"Control",1,2.2982461824625
"Control",1,2.336034572127916
"Control",1,2.4494594299006893
"Control",1,2.5184863959008483
"Control",1,2.579159781059803
"Control",1,2.639005878850644
"Control",1,2.698796447481892
"Control",1,2.78055305706986
"Control",1,2.8499105486382925
"Control",1,2.9408952535221133
"Control",1,3.1719659704478325
"Control",1,3.2868800802278195
"Rapa inj3m",1,2.1555624493086625
"Rapa inj3m",1,2.2909886071562635
"Rapa inj3m",1,2.4480257288189957
"Rapa inj3m",1,2.6040344438904017
"Rapa inj3m",1,2.655150837826159
"Rapa inj3m",1,2.7153313540273425
"Rapa inj3m",1,2.787019493237193
"Rapa inj3m",1,2.8928651483695345
"Rapa inj3m",1,2.944989297443245
"Rapa inj3m",1,2.991696096047641
"Rapa inj3m",1,3.0348854034608506
"Rapa inj3m",1,3.037941987134487
"Rapa inj3m",1,3.072874305808737
"Rapa inj3m",1,3.1461452152548217
"Rapa inj3m",1,3.504646412475658
"Rapa inj3m",1,3.6392105907784305
