"Rapamycin 19mo_f_Fischer_2013_Rapamycin Extends Life and Health in C57BL6 Mice","death","age (years)"
"Control",1,1.6787385168582138
"Control",1,1.7461266561796847
"Control",1,1.8874148785929796
"Control",1,1.9098595537484642
"Control",1,1.9323042289039487
"Control",1,1.9997232543182772
"Control",1,2.0413055888388634
"Control",1,2.0727815958235305
"Control",1,2.101732300113073
"Control",1,2.1305059746007373
"Control",1,2.145140293239253
"Control",1,2.1510217863148746
"Control",1,2.1569032793904954
"Control",1,2.2233449684805
"Control",1,2.274221060941448
"Control",1,2.3150562294311574
"Control",1,2.335076191632689
"Control",1,2.3495233452395223
"Control",1,2.3552617447063744
"Control",1,2.361000144173227
"Control",1,2.383384008353436
"Control",1,2.406495274459843
"Control",1,2.4191358171528043
"Control",1,2.430508340895654
"Control",1,2.4418808646385037
"Control",1,2.458124728842002
"Control",1,2.4756874050222986
"Control",1,2.517668165460002
"Control",1,2.570167105669476
"Control",1,2.5920959411230284
"Control",1,2.625372282822281
"Control",1,2.6695868722705924
"Control",1,2.7113360016697166
"Control",1,2.719933394973297
"Control",1,2.7265067756981596
"Control",1,2.7405522408133303
"Control",1,2.7584392476874955
"Control",1,2.7813083174778077
"Control",1,2.8088320514105694
"Control",1,2.885733804572278
"Control",1,2.9255803984605437
"Control",1,3.034939659985703
"Rapamycin 19mo",1,1.7417515162283628
"Rapamycin 19mo",1,1.7781840217392286
"Rapamycin 19mo",1,1.8140672012667691
"Rapamycin 19mo",1,1.8487424259608556
"Rapamycin 19mo",1,1.8867258331699108
"Rapamycin 19mo",1,1.9303107872336955
"Rapamycin 19mo",1,2.007587412070875
"Rapamycin 19mo",1,2.05136884319562
"Rapamycin 19mo",1,2.0839261805601015
"Rapamycin 19mo",1,2.129112416388739
"Rapamycin 19mo",1,2.1796937439326993
"Rapamycin 19mo",1,2.2280335899121
"Rapamycin 19mo",1,2.2748566907026526
"Rapamycin 19mo",1,2.318966907042209
"Rapamycin 19mo",1,2.345106943059581
"Rapamycin 19mo",1,2.366363057501408
"Rapamycin 19mo",1,2.3888650347797205
"Rapamycin 19mo",1,2.4251044665575123
"Rapamycin 19mo",1,2.4613438983353046
"Rapamycin 19mo",1,2.4837649010834433
"Rapamycin 19mo",1,2.5057180273252806
"Rapamycin 19mo",1,2.5252389484430195
"Rapamycin 19mo",1,2.543633618029263
"Rapamycin 19mo",1,2.608675349568747
"Rapamycin 19mo",1,2.6862047701424245
"Rapamycin 19mo",1,2.7175328063809974
"Rapamycin 19mo",1,2.7331849286564545
"Rapamycin 19mo",1,2.74706762792965
"Rapamycin 19mo",1,2.7567002808999153
"Rapamycin 19mo",1,2.7663329338701805
"Rapamycin 19mo",1,2.7748762664305757
"Rapamycin 19mo",1,2.7832045783724384
"Rapamycin 19mo",1,2.791532890314301
"Rapamycin 19mo",1,2.8079945008727414
"Rapamycin 19mo",1,2.826031895560906
"Rapamycin 19mo",1,2.8469364768216954
"Rapamycin 19mo",1,2.871396780498714
"Rapamycin 19mo",1,2.8958603961288856
"Rapamycin 19mo",1,2.9206099533564314
"Rapamycin 19mo",1,2.9453595105839767
"Rapamycin 19mo",1,2.979422542787951
"Rapamycin 19mo",1,3.0163078675067028
"Rapamycin 19mo",1,3.107238750563523
"Rapamycin 19mo",1,3.3287033681861566
