"Rapamycin 19mo_m_Fischer_2013_Rapamycin Extends Life and Health in C57BL6 Mice","death","age (years)"
"Control",1,1.8360075809923326
"Control",1,1.907535342824151
"Control",1,1.937554188885455
"Control",1,1.963395844621166
"Control",1,1.9875286711728422
"Control",1,2.0259810970200034
"Control",1,2.1256086126124294
"Control",1,2.2078174119932488
"Control",1,2.256330855589573
"Control",1,2.278148614507483
"Control",1,2.300018076516911
"Control",1,2.3219695180584616
"Control",1,2.335760371925119
"Control",1,2.342132226458473
"Control",1,2.34916696494271
"Control",1,2.3829760690986777
"Control",1,2.4144657453499874
"Control",1,2.4389837587165824
"Control",1,2.4654664268047117
"Control",1,2.5009872107892224
"Control",1,2.5412131585573583
"Control",1,2.5954881569048722
"Control",1,2.6244999478430002
"Control",1,2.6721029995792294
"Control",1,2.7045729559827416
"Control",1,2.7116320759609662
"Control",1,2.717891025535098
"Control",1,2.7218501516961355
"Control",1,2.7258092778571728
"Control",1,2.7369424265473956
"Control",1,2.7532552214802766
"Control",1,2.7713594546398297
"Control",1,2.7914376737922155
"Control",1,2.8104081112125154
"Control",1,2.821972791077422
"Control",1,2.833537470942329
"Control",1,2.845209962261803
"Control",1,2.8712654290309074
"Control",1,2.897320895800012
"Control",1,2.92593004031065
"Control",1,2.9586558595547676
"Control",1,3.1056279512920297
"Control",1,3.326496644141181
"Rapamycin 19mo",1,1.651918724513871
"Rapamycin 19mo",1,1.7036898321818486
"Rapamycin 19mo",1,1.7580333144838205
"Rapamycin 19mo",1,1.8507121753228264
"Rapamycin 19mo",1,1.9182088142192777
"Rapamycin 19mo",1,1.9569458411603
"Rapamycin 19mo",1,2.0670472688906973
"Rapamycin 19mo",1,2.1521562497005724
"Rapamycin 19mo",1,2.1776653060989064
"Rapamycin 19mo",1,2.202410671501217
"Rapamycin 19mo",1,2.2282597236699586
"Rapamycin 19mo",1,2.275504387575661
"Rapamycin 19mo",1,2.3105200884732184
"Rapamycin 19mo",1,2.3342746198238977
"Rapamycin 19mo",1,2.362159450003246
"Rapamycin 19mo",1,2.4079598784912033
"Rapamycin 19mo",1,2.4331968202506404
"Rapamycin 19mo",1,2.4520499459886045
"Rapamycin 19mo",1,2.470903071726568
"Rapamycin 19mo",1,2.4848866606354805
"Rapamycin 19mo",1,2.4968711259191787
"Rapamycin 19mo",1,2.510525599930925
"Rapamycin 19mo",1,2.546470018271266
"Rapamycin 19mo",1,2.5986716009196282
"Rapamycin 19mo",1,2.7001700318090576
"Rapamycin 19mo",1,2.7407315235966694
"Rapamycin 19mo",1,2.761442701642185
"Rapamycin 19mo",1,2.7830635000065205
"Rapamycin 19mo",1,2.8058078034852487
"Rapamycin 19mo",1,2.828552106963977
"Rapamycin 19mo",1,2.8790873251877036
"Rapamycin 19mo",1,2.9290838811646913
"Rapamycin 19mo",1,2.9490208034652734
"Rapamycin 19mo",1,2.968957725765856
"Rapamycin 19mo",1,2.9838962787048247
"Rapamycin 19mo",1,2.9983528333045
"Rapamycin 19mo",1,3.0163329022789465
"Rapamycin 19mo",1,3.051712938914083
"Rapamycin 19mo",1,3.089151535680365
"Rapamycin 19mo",1,3.1308880958021303
"Rapamycin 19mo",1,3.166352096873397
"Rapamycin 19mo",1,3.196114696795681
"Rapamycin 19mo",1,3.225877296717964
"Rapamycin 19mo",1,3.319696363821614
