"Rapamycin 20mo_f_Bartke_2018_Effects of rapamycin on growth hormone receptor knockout mice","death","age (years)"
"Control",1,1.633303976437878
"Control",1,2.012705343975595
"Control",1,2.2243264079363714
"Control",1,2.3558015095865406
"Control",1,2.404388304627233
"Control",1,2.426076093968165
"Control",1,2.448926657288863
"Control",1,2.4743217633880374
"Control",1,2.5642737620824896
"Control",1,2.746036438723523
"Control",1,2.7743297268601657
"Control",1,2.8387040181154135
"Rapamycin 20mo",1,2.0788924654844365
"Rapamycin 20mo",1,2.5073741008492973
"Rapamycin 20mo",1,2.6663461865651468
"Rapamycin 20mo",1,2.8169453354298275
"Rapamycin 20mo",1,2.8618297301476106
"Rapamycin 20mo",1,2.9148223579444084
"Rapamycin 20mo",1,3.0360289953310393
"Rapamycin 20mo",1,3.079521688585818
"Rapamycin 20mo",1,3.133796964239586
"Rapamycin 20mo",1,3.168744303696699
"Rapamycin 20mo",1,3.1865352540019054
"Rapamycin 20mo",1,3.207472489557266
