"Rapamycin 20mo_m_Bartke_2018_Effects of rapamycin on growth hormone receptor knockout mice","death","age (years)"
"Control",1,0.7505090122566689
"Control",1,1.5010180245133378
"Control",1,2.195596065858627
"Control",1,2.326675970852598
"Control",1,2.379715699538487
"Control",1,2.4416314553424656
"Control",1,2.462927322349144
"Control",1,2.4764892274699566
"Control",1,2.4865958012806213
"Control",1,2.5080226142823774
"Control",1,2.5377216425441294
"Control",1,2.561957074405669
"Control",1,2.584630268015113
"Control",1,2.6215451975474346
"Control",1,2.6558503950633248
"Control",1,2.680935895620707
"Control",1,2.7580922941921004
"Rapamycin 20mo",1,2.4895939621723704
"Rapamycin 20mo",1,2.557678580275362
"Rapamycin 20mo",1,2.6045515865150564
"Rapamycin 20mo",1,2.633063595248841
"Rapamycin 20mo",1,2.668052375100452
"Rapamycin 20mo",1,2.6984898596696625
"Rapamycin 20mo",1,2.719226734408146
"Rapamycin 20mo",1,2.7709267360003405
"Rapamycin 20mo",1,2.819043946868457
"Rapamycin 20mo",1,2.860255117180238
"Rapamycin 20mo",1,2.9051316611736775
"Rapamycin 20mo",1,2.9838702203720886
"Rapamycin 20mo",1,3.111197842537121
"Rapamycin 20mo",1,3.1649554189889875
"Rapamycin 20mo",1,3.3152721980543163
"Rapamycin 20mo",1,3.3697532396713665
