"Rapamycin 3mo 42ppm_mix_Blasco_2020_The mTOR pathway is necessary for survival of mice with short telomeres","death","age (years)"
"Control",1,1.0803878104717792
"Control",1,1.1501726581012328
"Control",1,1.228684611280342
"Control",1,1.3579813524638071
"Control",1,1.40167621719972
"Control",1,1.4179439962174536
"Control",1,1.4438493013850393
"Control",1,1.502666864728828
"Control",1,1.5182865038481048
"Control",1,1.529086633108424
"Control",1,1.5640679236824218
"Control",1,1.60522388392735
"Control",1,1.6717393572659769
"Control",1,1.8513219180953746
"Control",1,1.9125039878397976
"Control",1,1.9410377628577604
"Control",1,1.952832170996371
"Control",1,1.9645746318407014
"Control",1,2.0448658616935953
"Control",1,2.315248570658132
"Control",1,2.3716736331404946
"Control",1,2.4346167138837376
"Rapamycin 3mo 42ppm",1,1.2348100416474108
"Rapamycin 3mo 42ppm",1,1.327472957148969
"Rapamycin 3mo 42ppm",1,1.420618409882429
"Rapamycin 3mo 42ppm",1,1.8067889122504062
"Rapamycin 3mo 42ppm",1,1.897873076926825
"Rapamycin 3mo 42ppm",1,1.938476988801044
"Rapamycin 3mo 42ppm",1,1.9682785757508274
"Rapamycin 3mo 42ppm",1,1.9896215131502668
"Rapamycin 3mo 42ppm",1,2.022108890790405
"Rapamycin 3mo 42ppm",1,2.058818383041616
"Rapamycin 3mo 42ppm",1,2.1066108525509204
"Rapamycin 3mo 42ppm",1,2.158722454378856
"Rapamycin 3mo 42ppm",1,2.2145395900412623
"Rapamycin 3mo 42ppm",1,2.3248192474601566
"Rapamycin 3mo 42ppm",1,2.3684400612708116
"Rapamycin 3mo 42ppm",1,2.388500383561644
"Rapamycin 3mo 42ppm",1,2.388500383561644
"Rapamycin 3mo 42ppm",1,2.3908714174148398
"Rapamycin 3mo 42ppm",1,2.4063078357299155
"Rapamycin 3mo 42ppm",1,2.4292962198110994
"Rapamycin 3mo 42ppm",1,2.456931407638619
"Rapamycin 3mo 42ppm",1,2.5303710655319054
"Rapamycin 3mo 42ppm",1,2.6205886371470104
"Rapamycin 3mo 42ppm",1,2.6589194403228995
"Rapamycin 3mo 42ppm",1,2.679184044345128
