"Spermidine 4mo_f_Madeo_2016_Cardioprotection and lifespan extension by the natural polyamine sperm","death","age (years)"
"Control",1,1.591968956202971
"Control",1,1.6732277590198725
"Control",1,1.7336593840955465
"Control",1,1.7904635877763326
"Control",1,1.8584983831077106
"Control",1,1.8789461792916848
"Control",1,1.9008826407318562
"Control",1,1.9298080294909834
"Control",1,1.9595497419064898
"Control",1,1.9973098022714537
"Control",1,2.031223898964556
"Control",1,2.0361685696378666
"Control",1,2.041113240311178
"Control",1,2.046057910984489
"Control",1,2.056919863554527
"Control",1,2.0692833931755916
"Control",1,2.093939709413837
"Control",1,2.131514040136585
"Control",1,2.1540396464777767
"Control",1,2.1704543534919236
"Control",1,2.1862380460593265
"Control",1,2.201953800429761
"Control",1,2.2176538404067574
"Control",1,2.230750529204135
"Control",1,2.243847218001513
"Control",1,2.2571889800250013
"Control",1,2.3063258491327674
"Control",1,2.345754093764116
"Control",1,2.3648890330930876
"Control",1,2.3840239724220598
"Control",1,2.4069094337273174
"Control",1,2.473874695607638
"Control",1,2.5182481766875777
"Control",1,2.53203846817615
"Control",1,2.5486736303688295
"Control",1,2.582726533710024
"Control",1,2.625819992048476
"Control",1,2.6784748604046054
"Control",1,2.6841206753266653
"Spermidine 4mo",1,1.645050174896063
"Spermidine 4mo",1,1.812896452019495
"Spermidine 4mo",1,1.8801799458515152
"Spermidine 4mo",1,1.8959679344883538
"Spermidine 4mo",1,1.912409875400371
"Spermidine 4mo",1,1.9363305872703722
"Spermidine 4mo",1,2.034489230992617
"Spermidine 4mo",1,2.207963248786146
"Spermidine 4mo",1,2.2354344046013277
"Spermidine 4mo",1,2.249282763677348
"Spermidine 4mo",1,2.259231736050087
"Spermidine 4mo",1,2.2778165810796707
"Spermidine 4mo",1,2.3080909927690283
"Spermidine 4mo",1,2.342283576693988
"Spermidine 4mo",1,2.379806882477183
"Spermidine 4mo",1,2.404475844848072
"Spermidine 4mo",1,2.419368662766077
"Spermidine 4mo",1,2.4340420849412125
"Spermidine 4mo",1,2.443954295756606
"Spermidine 4mo",1,2.4538665065719996
"Spermidine 4mo",1,2.4730233631473366
"Spermidine 4mo",1,2.4973384745328597
"Spermidine 4mo",1,2.517586126356021
"Spermidine 4mo",1,2.536851441271954
"Spermidine 4mo",1,2.555529909245414
"Spermidine 4mo",1,2.573931210170869
"Spermidine 4mo",1,2.594045171796849
"Spermidine 4mo",1,2.615300431563372
"Spermidine 4mo",1,2.636458583731914
"Spermidine 4mo",1,2.6574820277954507
"Spermidine 4mo",1,2.675006698628049
"Spermidine 4mo",1,2.6858317189560856
"Spermidine 4mo",1,2.6970968458783546
"Spermidine 4mo",1,2.717354069254638
"Spermidine 4mo",1,2.737803005272591
"Spermidine 4mo",1,2.759253510372198
"Spermidine 4mo",1,2.7807040154718052
"Spermidine 4mo",1,2.788108110792131
"Spermidine 4mo",1,2.7934586562616377
"Spermidine 4mo",1,2.7988092017311446
