"Spermine 4mo_f_Madeo_2016_Cardioprotection and lifespan extension by the natural polyamine sperm","death","age (years)"
"Control",1,1.591968956202971
"Control",1,1.6732277590198725
"Control",1,1.7336593840955465
"Control",1,1.7904635877763326
"Control",1,1.8584983831077106
"Control",1,1.8789461792916848
"Control",1,1.9008826407318562
"Control",1,1.9298080294909834
"Control",1,1.9595497419064898
"Control",1,1.9973098022714537
"Control",1,2.031223898964556
"Control",1,2.0361685696378666
"Control",1,2.041113240311178
"Control",1,2.046057910984489
"Control",1,2.056919863554527
"Control",1,2.0692833931755916
"Control",1,2.093939709413837
"Control",1,2.131514040136585
"Control",1,2.1540396464777767
"Control",1,2.1704543534919236
"Control",1,2.1862380460593265
"Control",1,2.201953800429761
"Control",1,2.2176538404067574
"Control",1,2.230750529204135
"Control",1,2.243847218001513
"Control",1,2.2571889800250013
"Control",1,2.3063258491327674
"Control",1,2.345754093764116
"Control",1,2.3648890330930876
"Control",1,2.3840239724220598
"Control",1,2.4069094337273174
"Control",1,2.473874695607638
"Control",1,2.5182481766875777
"Control",1,2.53203846817615
"Control",1,2.5486736303688295
"Control",1,2.582726533710024
"Control",1,2.625819992048476
"Control",1,2.6784748604046054
"Control",1,2.6841206753266653
"Spermine 4mo",1,2.0302548337098445
"Spermine 4mo",1,2.075304804772692
"Spermine 4mo",1,2.116304805907273
"Spermine 4mo",1,2.1599519006316186
"Spermine 4mo",1,2.191270560145163
"Spermine 4mo",1,2.2286150852718394
"Spermine 4mo",1,2.310661561791546
"Spermine 4mo",1,2.4909733003565813
"Spermine 4mo",1,2.5257016987623766
"Spermine 4mo",1,2.5469954477227184
"Spermine 4mo",1,2.569565143305733
"Spermine 4mo",1,2.592822121980947
"Spermine 4mo",1,2.643102178852102
"Spermine 4mo",1,2.7799442469683977
"Spermine 4mo",1,2.8482105316664
"Spermine 4mo",1,2.896647206870657
