"Taurine_f_Yadav_2023_Taurine deficiency as a driver of aging","death","age (years)"
"Control",1,1.719096927642643
"Control",1,1.7306938826825466
"Control",1,1.7422908377224502
"Control",1,1.7934956608744606
"Control",1,1.8891867717945454
"Control",1,1.9586970768364722
"Control",1,1.9749133085933626
"Control",1,1.9911295403502522
"Control",1,2.0290429735118027
"Control",1,2.0504937547357023
"Control",1,2.064312645251851
"Control",1,2.078131535768
"Control",1,2.1311229814003934
"Control",1,2.153873960944011
"Control",1,2.20881443187726
"Control",1,2.213447575025018
"Control",1,2.218080718172777
"Control",1,2.2227138613205355
"Control",1,2.2273470044682933
"Control",1,2.231980147616052
"Control",1,2.23661329076381
"Control",1,2.2412464339115687
"Control",1,2.2458795770593274
"Control",1,2.2505127202070856
"Control",1,2.258440170234567
"Control",1,2.2751333034237753
"Control",1,2.2918264366129844
"Control",1,2.3376106439829134
"Control",1,2.3512238418029163
"Control",1,2.364837039622919
"Control",1,2.378450237442922
"Control",1,2.391970036727865
"Control",1,2.405476615215608
"Control",1,2.418813745921275
"Control",1,2.4224572404698024
"Control",1,2.4261007350183292
"Control",1,2.429744229566857
"Control",1,2.433387724115384
"Control",1,2.43966369707201
"Control",1,2.4664455490346673
"Control",1,2.507372473817605
"Control",1,2.5250530280486805
"Control",1,2.5850650021513446
"Control",1,2.6091115022983056
"Control",1,2.678325731837048
"Control",1,2.7183650142596525
"Control",1,2.729835621303328
"Control",1,2.7413062283470033
"Control",1,2.7527768353906787
"Control",1,2.796423698855501
"Control",1,2.8103991518859384
"Control",1,2.8243746049163754
"Control",1,2.8383500579468133
"Control",1,2.8440288392647712
"Control",1,2.849402961443979
"Control",1,2.8547181813945994
"Control",1,2.8595253908828777
"Control",1,2.864332600371155
"Control",1,2.869139809859433
"Control",1,2.8739470193477112
"Control",1,2.878754228835989
"Taurine",1,2.014629392621726
"Taurine",1,2.025828680880608
"Taurine",1,2.03702796913949
"Taurine",1,2.054826499007743
"Taurine",1,2.1353645194575073
"Taurine",1,2.2548367717103486
"Taurine",1,2.275754614679983
"Taurine",1,2.2950854051300387
"Taurine",1,2.3061457790339643
"Taurine",1,2.3172061529378905
"Taurine",1,2.3282665268418166
"Taurine",1,2.3463343274820394
"Taurine",1,2.3839145808063775
"Taurine",1,2.4034866252225178
"Taurine",1,2.4645014394437013
"Taurine",1,2.4704225238349653
"Taurine",1,2.4763436082262293
"Taurine",1,2.5103149692176863
"Taurine",1,2.53122644644083
"Taurine",1,2.5880607863035183
"Taurine",1,2.593242476698608
"Taurine",1,2.598424167093699
"Taurine",1,2.6036058574887893
"Taurine",1,2.608787547883879
"Taurine",1,2.6139692382789694
"Taurine",1,2.6191509286740597
"Taurine",1,2.6243326190691505
"Taurine",1,2.634030383176463
"Taurine",1,2.656063094885819
"Taurine",1,2.7118602496231836
"Taurine",1,2.7353624494538593
"Taurine",1,2.7563554364415617
"Taurine",1,2.766425019339834
"Taurine",1,2.776494602238107
"Taurine",1,2.78656418513638
"Taurine",1,2.797143943963501
"Taurine",1,2.8122448476590973
"Taurine",1,2.8273457513546933
"Taurine",1,2.842852599200069
"Taurine",1,2.858158505312049
"Taurine",1,2.863170294594629
"Taurine",1,2.868182083877209
"Taurine",1,2.873193873159789
"Taurine",1,2.880630441053196
"Taurine",1,2.924396872590268
"Taurine",1,2.931571100743239
"Taurine",1,2.9387453288962107
"Taurine",1,2.9459195570491823
"Taurine",1,2.953093785202154
"Taurine",1,2.9602708352710723
"Taurine",1,2.970972458357895
"Taurine",1,2.981674081444717
"Taurine",1,2.99237570453154
"Taurine",1,3.003077327618362
"Taurine",1,3.0104642417682093
"Taurine",1,3.0175448151095923
"Taurine",1,3.0246253884509753
"Taurine",1,3.0317059617923583
"Taurine",1,3.038786535133741
