"Taurine_m_Yadav_2023_Taurine deficiency as a driver of aging","death","age (years)"
"Control",1,1.7712138046169088
"Control",1,1.8394226259456146
"Control",1,1.8598834590388658
"Control",1,1.878964762651152
"Control",1,1.889161239487224
"Control",1,1.8993577163232964
"Control",1,1.9095541931593687
"Control",1,2.0045465858643583
"Control",1,2.01441464200353
"Control",1,2.0242826981427013
"Control",1,2.0341507542818724
"Control",1,2.044018810421044
"Control",1,2.054508753303371
"Control",1,2.0650579857735494
"Control",1,2.0756072182437273
"Control",1,2.0890655708181476
"Control",1,2.1487891781704502
"Control",1,2.170606665059436
"Control",1,2.2224791127082866
"Control",1,2.2330266157960925
"Control",1,2.2435741188838985
"Control",1,2.297882242720975
"Control",1,2.309349636856086
"Control",1,2.3208800203634152
"Control",1,2.3336256079282722
"Control",1,2.348650491148578
"Control",1,2.3641167811287422
"Control",1,2.3795185913934573
"Control",1,2.387788484559989
"Control",1,2.3960583777265207
"Control",1,2.4043282708930525
"Control",1,2.412598164059584
"Control",1,2.420803070504258
"Control",1,2.4268892700599776
"Control",1,2.432975469615698
"Control",1,2.464967016999505
"Control",1,2.473891757055619
"Control",1,2.5009424485919602
"Control",1,2.512808388688524
"Control",1,2.524674328785088
"Control",1,2.5365402688816525
"Control",1,2.588110007707004
"Control",1,2.6083951587171255
"Control",1,2.628680309727247
"Control",1,2.66644252294196
"Control",1,2.6841805549510678
"Control",1,2.699650344883706
"Control",1,2.7165726540284365
"Control",1,2.75230638386191
"Control",1,2.7602892669472268
"Control",1,2.768030293072505
"Control",1,2.7757713191977826
"Control",1,2.7835123453230604
"Control",1,2.791253371448338
"Control",1,2.8114403330020314
"Control",1,2.821686483882049
"Control",1,2.8295099034018563
"Control",1,2.837333322921664
"Control",1,2.841351821372707
"Control",1,2.845265218419681
"Control",1,2.8491786154666547
"Control",1,2.853092012513628
"Control",1,2.857005409560601
"Taurine",1,2.041771076016071
"Taurine",1,2.104218496892673
"Taurine",1,2.1180937980980854
"Taurine",1,2.131969099303498
"Taurine",1,2.2309348412659324
"Taurine",1,2.245117334912965
"Taurine",1,2.2924253024721115
"Taurine",1,2.301400471913509
"Taurine",1,2.3103756413549057
"Taurine",1,2.319350810796303
"Taurine",1,2.3282788764789295
"Taurine",1,2.3372016851391235
"Taurine",1,2.3507561640891503
"Taurine",1,2.364938648299915
"Taurine",1,2.37912113251068
"Taurine",1,2.4487329931119883
"Taurine",1,2.453834765420633
"Taurine",1,2.4589365377292776
"Taurine",1,2.4640383100379224
"Taurine",1,2.516408274538632
"Taurine",1,2.530847562029025
"Taurine",1,2.545286849519418
"Taurine",1,2.5929179930746633
"Taurine",1,2.5985124692006787
"Taurine",1,2.6041069453266936
"Taurine",1,2.6097014214527094
"Taurine",1,2.615295897578725
"Taurine",1,2.6208903737047398
"Taurine",1,2.6264848498307556
"Taurine",1,2.6326839841769836
"Taurine",1,2.646276584908988
"Taurine",1,2.6598691856409924
"Taurine",1,2.6733191604975794
"Taurine",1,2.683824621069036
"Taurine",1,2.6943300816404934
"Taurine",1,2.7048355422119505
"Taurine",1,2.7153410027834077
"Taurine",1,2.7970898759794807
"Taurine",1,2.80150275156435
"Taurine",1,2.8059156271492194
"Taurine",1,2.8103285027340887
"Taurine",1,2.838240763180258
"Taurine",1,2.847110314603941
"Taurine",1,2.855979866027624
"Taurine",1,2.8643329200211793
"Taurine",1,2.87028440686787
"Taurine",1,2.87623589371456
"Taurine",1,2.925159664863404
"Taurine",1,2.9310954061794305
"Taurine",1,2.937031147495456
"Taurine",1,2.9429668888114824
"Taurine",1,2.948902630127508
"Taurine",1,2.954838371443534
"Taurine",1,2.9607741127595593
"Taurine",1,2.966513804585618
"Taurine",1,2.9700586984630153
"Taurine",1,2.973603592340412
"Taurine",1,2.9771484862178093
"Taurine",1,2.9806933800952056
