"VEGF_f_Keshet_2021_Counteracting age-related VEGF signalinginsufficiency promotes healthy aging and extendslife span","death","age (years)"
"Control",1,0.5423893891126937
"Control",1,0.8296299709731629
"Control",1,0.8497085980546928
"Control",1,0.9226112817347385
"Control",1,1.0996707605206244
"Control",1,1.1659143026732015
"Control",1,1.1873334210190478
"Control",1,1.223953102557782
"Control",1,1.267275049711824
"Control",1,1.3402150410958906
"Control",1,1.4138066306268833
"Control",1,1.4686612883459966
"Control",1,1.519192203328477
"Control",1,1.566520764029952
"Control",1,1.6019412643209645
"Control",1,1.6074871569155518
"Control",1,1.6119273573602957
"Control",1,1.6147295969776039
"Control",1,1.6275150993805076
"Control",1,1.6561138836634384
"Control",1,1.696287581341972
"Control",1,1.7478981218785865
"Control",1,1.7677319823734343
"Control",1,1.7678406103626152
"Control",1,1.7756356781874614
"Control",1,1.7861949381761877
"Control",1,1.798759041783368
"Control",1,1.8143167191344558
"Control",1,1.848796432946514
"Control",1,1.878828913683353
"Control",1,1.8931397700114214
"Control",1,1.905729508291276
"Control",1,1.9149407555875992
"Control",1,1.9203589157483294
"Control",1,1.9231357489045462
"Control",1,1.9333951284560686
"Control",1,1.9467479989201377
"Control",1,1.9626005082046845
"Control",1,1.9795734204073159
"Control",1,1.9965463326099477
"Control",1,2.0180175123428534
"Control",1,2.0582372851670563
"Control",1,2.083344833198111
"Control",1,2.0894512317714153
"Control",1,2.119289473168746
"Control",1,2.1595178599865172
"Control",1,2.1979260530392644
"Control",1,2.23479304786253
"Control",1,2.3729316327681365
"VEGF",1,2.1802923321228618
"VEGF",1,2.2302442831140987
"VEGF",1,2.271136540936604
"VEGF",1,2.3071074839514036
"VEGF",1,2.353175568874916
"VEGF",1,2.3890808985766836
"VEGF",1,2.4068215975514553
"VEGF",1,2.4245622965262266
"VEGF",1,2.4387916120640036
"VEGF",1,2.448898868784441
"VEGF",1,2.459006125504877
"VEGF",1,2.464548535497877
"VEGF",1,2.4683420346423284
"VEGF",1,2.47213553378678
"VEGF",1,2.4759290329312313
"VEGF",1,2.4805917329973264
"VEGF",1,2.4859598714925815
"VEGF",1,2.491328009987836
"VEGF",1,2.5004671755519374
"VEGF",1,2.5101060128794086
"VEGF",1,2.5199834145939897
"VEGF",1,2.53061214564391
"VEGF",1,2.5412408766938297
"VEGF",1,2.552230614151217
"VEGF",1,2.5641532749770075
"VEGF",1,2.5760473658364216
"VEGF",1,2.5860653622371417
"VEGF",1,2.5960833586378618
"VEGF",1,2.606101355038581
"VEGF",1,2.625970136596106
"VEGF",1,2.6504533094385376
"VEGF",1,2.6718363768069833
"VEGF",1,2.682448831645004
"VEGF",1,2.693061286483025
"VEGF",1,2.7036737413210457
"VEGF",1,2.7194095622585035
"VEGF",1,2.7362510336307944
"VEGF",1,2.7530925050030843
"VEGF",1,2.7761163194978558
"VEGF",1,2.801234019949773
"VEGF",1,2.818917297369042
"VEGF",1,2.831877315020228
"VEGF",1,2.844837332671414
"VEGF",1,2.8577973503225995
"VEGF",1,2.88537542443366
"VEGF",1,2.9212477562852763
"VEGF",1,2.9571200881368918
"VEGF",1,2.9940340624772843
"VEGF",1,3.031084056837409
