"VEGF_m_Keshet_2021_Counteracting age-related VEGF signalinginsufficiency promotes healthy aging and extendslife span","death","age (years)"
"Control",1,0.5830685921343349
"Control",1,1.146995739976551
"Control",1,1.423801223436984
"Control",1,1.520177537264182
"Control",1,1.5375593404467793
"Control",1,1.5443606971569968
"Control",1,1.5485581433646662
"Control",1,1.552755589572335
"Control",1,1.5569530357800043
"Control",1,1.5783226943564344
"Control",1,1.6024080214974803
"Control",1,1.625308463148297
"Control",1,1.6368963319366956
"Control",1,1.6498033878779281
"Control",1,1.6660281183634595
"Control",1,1.6857508306932434
"Control",1,1.7156129172967185
"Control",1,1.7454750039001936
"Control",1,1.7600811727775552
"Control",1,1.7676880912904203
"Control",1,1.7752950098032851
"Control",1,1.7829019283161498
"Control",1,1.7923334561423783
"Control",1,1.8050087338590306
"Control",1,1.817684011575683
"Control",1,1.8303592892923353
"Control",1,1.8430175915589282
"Control",1,1.8551861394230769
"Control",1,1.8673546872872255
"Control",1,1.8821937890512244
"Control",1,1.9024672045932192
"Control",1,1.9202247642663712
"Control",1,1.925296633773062
"Control",1,1.930404509704196
"Control",1,1.9474785206918888
"Control",1,1.9645525316795818
"Control",1,1.9830134772238122
"Control",1,2.0032868758851783
"Control",1,2.0187312484079847
"Control",1,2.0330465642333744
"Control",1,2.048107424274828
"Control",1,2.063878881147218
"Control",1,2.081777379729063
"Control",1,2.124818602107287
"Control",1,2.167859824485511
"Control",1,2.282121423064979
"Control",1,2.403255163207725
"Control",1,2.5065938536319066
"Control",1,2.5740472024667644
"VEGF",1,1.8160915615180446
"VEGF",1,2.074229804714964
"VEGF",1,2.0819528670083525
"VEGF",1,2.08967592930174
"VEGF",1,2.0973989915951283
"VEGF",1,2.105122053888516
"VEGF",1,2.1128451161819046
"VEGF",1,2.1533716712176814
"VEGF",1,2.209406210303983
"VEGF",1,2.2344675149994244
"VEGF",1,2.2551444805801775
"VEGF",1,2.2911239288274845
"VEGF",1,2.331085686678627
"VEGF",1,2.3493643110849507
"VEGF",1,2.3604537208071728
"VEGF",1,2.3715431305293952
"VEGF",1,2.3826325402516177
"VEGF",1,2.39524702300336
"VEGF",1,2.417001279085866
"VEGF",1,2.4387555351683723
"VEGF",1,2.4605097912508787
"VEGF",1,2.4964543613904504
"VEGF",1,2.5583509486103413
"VEGF",1,2.6825879672679274
"VEGF",1,2.70692086552755
"VEGF",1,2.7312537637871723
"VEGF",1,2.754158510890411
"VEGF",1,2.773260086232877
"VEGF",1,2.792361661575343
"VEGF",1,2.811463236917808
"VEGF",1,2.824753455247691
"VEGF",1,2.8352200275996924
"VEGF",1,2.8456865999516925
"VEGF",1,2.8664986567430084
"VEGF",1,2.891840116858223
"VEGF",1,2.917055448529898
"VEGF",1,2.9318862050168093
"VEGF",1,2.946716961503721
"VEGF",1,2.9615477179906327
"VEGF",1,2.9697860715186555
"VEGF",1,2.977316271018979
"VEGF",1,2.9848464705193023
"VEGF",1,2.9931284050725036
"VEGF",1,3.0016496857236215
"VEGF",1,3.0101709663747402
"VEGF",1,3.025116246900855
"VEGF",1,3.0401165995388584
"VEGF",1,3.0551169521768617
"VEGF",1,3.0848102700617015
