"cyclic HF_m_Verdin_2017_Ketogenic Diet Reduces Midlife Mortality and Improves Memory in Aging Mice","death","age (years)"
"Control",1,1.0989558984391832
"Control",1,1.170120470803526
"Control",1,1.230713856716423
"Control",1,1.2778758236939545
"Control",1,1.4553569121713636
"Control",1,1.6002016643501125
"Control",1,1.6652993624242085
"Control",1,1.6901966276014062
"Control",1,1.7191971614099042
"Control",1,1.8115527263491076
"Control",1,1.916951036966654
"Control",1,1.9698143272783601
"Control",1,2.0273520130458484
"Control",1,2.0795678285748433
"Control",1,2.1264163058955345
"Control",1,2.164399662520363
"Control",1,2.17188082774887
"Control",1,2.1793619929773773
"Control",1,2.1958106207780967
"Control",1,2.235189433001284
"Control",1,2.2860911722206723
"Control",1,2.3055569729202285
"Control",1,2.32274471911083
"Control",1,2.339670983188653
"Control",1,2.3551390180160316
"Control",1,2.3706070528434093
"Control",1,2.3857018154883454
"Control",1,2.3983921141761
"Control",1,2.411082412863855
"Control",1,2.4237727115516097
"Control",1,2.4535896353279556
"Control",1,2.4881566522180627
"Control",1,2.529954588889231
"Control",1,2.556478748688196
"Control",1,2.579114762775711
"Control",1,2.6514055997854213
"Control",1,2.689478669911382
"Control",1,2.712461820316479
"Control",1,2.7256249896189333
"Control",1,2.738788158921387
"Control",1,2.747281925834133
"Control",1,2.755740597192214
"Control",1,2.7622868974501875
"Control",1,2.7658379005245735
"Control",1,2.769408607578203
"Control",1,2.7730440611036578
"Control",1,2.7766795146291114
"Control",1,2.798312144208015
"Control",1,2.8451943663066426
"Control",1,2.853478789251365
"Control",1,2.861763212196087
"Control",1,2.877292022027401
"Control",1,2.8949951368873434
"Control",1,2.909575683998284
"Control",1,2.922248322243592
"Control",1,2.932610187083569
"Control",1,2.9421580049725087
"Control",1,2.9533446577811993
"Control",1,2.9705039889289324
"Control",1,2.9876633200766647
"cyclic HF",1,1.5607018764783163
"cyclic HF",1,1.702196657111122
"cyclic HF",1,1.9295894995295537
"cyclic HF",1,1.976794735388972
"cyclic HF",1,1.9851470041416706
"cyclic HF",1,2.0202909604179875
"cyclic HF",1,2.08658787775625
"cyclic HF",1,2.1430808307192404
"cyclic HF",1,2.1716845498169546
"cyclic HF",1,2.232719732406041
"cyclic HF",1,2.2846334009174836
"cyclic HF",1,2.3737088124839985
"cyclic HF",1,2.425606946278745
"cyclic HF",1,2.466553168479403
"cyclic HF",1,2.502181309240014
"cyclic HF",1,2.535441661714982
"cyclic HF",1,2.5887995532625423
"cyclic HF",1,2.628334280680297
"cyclic HF",1,2.640178310691554
"cyclic HF",1,2.6462202244475086
"cyclic HF",1,2.6522621382034632
"cyclic HF",1,2.661233395061225
"cyclic HF",1,2.6703204906353495
"cyclic HF",1,2.674533155867111
"cyclic HF",1,2.6746513283118416
"cyclic HF",1,2.6780862944982085
"cyclic HF",1,2.688140937109616
"cyclic HF",1,2.697830158658143
"cyclic HF",1,2.707145381878857
"cyclic HF",1,2.7408775967509755
"cyclic HF",1,2.778762844893265
"cyclic HF",1,2.7842273434671507
"cyclic HF",1,2.791055494712655
"cyclic HF",1,2.7977447212160564
"cyclic HF",1,2.799842397535401
