"cyclic KD_m_Verdin_2017_Ketogenic Diet Reduces Midlife Mortality and Improves Memory in Aging Mice","death","age (years)"
"Control",1,1.0989558984391832
"Control",1,1.170120470803526
"Control",1,1.230713856716423
"Control",1,1.2778758236939545
"Control",1,1.4553569121713636
"Control",1,1.6002016643501125
"Control",1,1.6652993624242085
"Control",1,1.6901966276014062
"Control",1,1.7191971614099042
"Control",1,1.8115527263491076
"Control",1,1.916951036966654
"Control",1,1.9698143272783601
"Control",1,2.0273520130458484
"Control",1,2.0795678285748433
"Control",1,2.1264163058955345
"Control",1,2.164399662520363
"Control",1,2.17188082774887
"Control",1,2.1793619929773773
"Control",1,2.1958106207780967
"Control",1,2.235189433001284
"Control",1,2.2860911722206723
"Control",1,2.3055569729202285
"Control",1,2.32274471911083
"Control",1,2.339670983188653
"Control",1,2.3551390180160316
"Control",1,2.3706070528434093
"Control",1,2.3857018154883454
"Control",1,2.3983921141761
"Control",1,2.411082412863855
"Control",1,2.4237727115516097
"Control",1,2.4535896353279556
"Control",1,2.4881566522180627
"Control",1,2.529954588889231
"Control",1,2.556478748688196
"Control",1,2.579114762775711
"Control",1,2.6514055997854213
"Control",1,2.689478669911382
"Control",1,2.712461820316479
"Control",1,2.7256249896189333
"Control",1,2.738788158921387
"Control",1,2.747281925834133
"Control",1,2.755740597192214
"Control",1,2.7622868974501875
"Control",1,2.7658379005245735
"Control",1,2.769408607578203
"Control",1,2.7730440611036578
"Control",1,2.7766795146291114
"Control",1,2.798312144208015
"Control",1,2.8451943663066426
"Control",1,2.853478789251365
"Control",1,2.861763212196087
"Control",1,2.877292022027401
"Control",1,2.8949951368873434
"Control",1,2.909575683998284
"Control",1,2.922248322243592
"Control",1,2.932610187083569
"Control",1,2.9421580049725087
"Control",1,2.9533446577811993
"Control",1,2.9705039889289324
"Control",1,2.9876633200766647
"cyclic KD",1,1.6680443029199241
"cyclic KD",1,1.6884858362964827
"cyclic KD",1,1.7089273696730414
"cyclic KD",1,1.7968763122900184
"cyclic KD",1,1.8819021003864793
"cyclic KD",1,1.9679142728320373
"cyclic KD",1,2.005864235932174
"cyclic KD",1,2.03341620004798
"cyclic KD",1,2.0520781055244712
"cyclic KD",1,2.1015998239826317
"cyclic KD",1,2.1846678788469474
"cyclic KD",1,2.210218189093048
"cyclic KD",1,2.235768499339148
"cyclic KD",1,2.251154064307615
"cyclic KD",1,2.264786371906675
"cyclic KD",1,2.278418679505736
"cyclic KD",1,2.2874648445109704
"cyclic KD",1,2.2953117544314017
"cyclic KD",1,2.3031586643518334
"cyclic KD",1,2.3113529368092616
"cyclic KD",1,2.3235598635113806
"cyclic KD",1,2.335766790213499
"cyclic KD",1,2.3479737169156176
"cyclic KD",1,2.3577637879283744
"cyclic KD",1,2.367267115183817
"cyclic KD",1,2.3767704424392604
"cyclic KD",1,2.386470267257813
"cyclic KD",1,2.3965619281852524
"cyclic KD",1,2.4066535891126914
"cyclic KD",1,2.4226148758935553
"cyclic KD",1,2.4462503686854657
"cyclic KD",1,2.4698858614773767
"cyclic KD",1,2.4777970986301607
"cyclic KD",1,2.4855821663997677
"cyclic KD",1,2.493367234169375
"cyclic KD",1,2.499260418747158
"cyclic KD",1,2.5036179756161308
"cyclic KD",1,2.507975532485103
"cyclic KD",1,2.5123330893540756
"cyclic KD",1,2.5268573589488463
"cyclic KD",1,2.546056182223375
"cyclic KD",1,2.565255005497904
"cyclic KD",1,2.589836231645988
"cyclic KD",1,2.616669235780547
"cyclic KD",1,2.6494147499669825
"cyclic KD",1,2.6751188021531633
"cyclic KD",1,2.675634903485131
"cyclic KD",1,2.676151004817099
"cyclic KD",1,2.676667106149067
"cyclic KD",1,2.6771832074810353
"cyclic KD",1,2.6776993088130028
"cyclic KD",1,2.682944194174607
"cyclic KD",1,2.689788544458915
"cyclic KD",1,2.696632894743223
"cyclic KD",1,2.7034772450275315
"cyclic KD",1,2.7088257077246864
"cyclic KD",1,2.712068720437303
"cyclic KD",1,2.7153117331499197
"cyclic KD",1,2.7185547458625363
"cyclic KD",1,2.7217977585751525
"cyclic KD",1,2.7250407712877696
"cyclic KD",1,2.797209682880732
"cyclic KD",1,2.79997542353616
"cyclic KD",1,2.802741164191587
"cyclic KD",1,2.805506904847014
"cyclic KD",1,2.808272645502442
"cyclic KD",1,2.8116651156387396
"cyclic KD",1,2.8185896451519685
"cyclic KD",1,2.8255141746651975
"cyclic KD",1,2.8324387041784265
"cyclic KD",1,2.839363233691655
"cyclic KD",1,2.851478599071615
"cyclic KD",1,2.866276978970481
"cyclic KD",1,2.8810753588693467
"cyclic KD",1,2.895834975828616
"cyclic KD",1,2.907353919213405
"cyclic KD",1,2.9188728625981932
"cyclic KD",1,2.9303918059829828
"cyclic KD",1,2.9419107493677714
"cyclic KD",1,2.9643473607411335
