"eHSP70 12mo_m_Nudler_2015_Exogenous Hsp70 delays senescence and improves","death","age (years)"
"Control",1,0.9249570391886663
"Control",1,0.9795622621395214
"Control",1,1.0234499506456014
"Control",1,1.0491335832363933
"Control",1,1.0630956540343492
"Control",1,1.2445065455383781
"Control",1,1.3252193988116454
"Control",1,1.4262151699164949
"Control",1,1.4497795925056058
"Control",1,1.452909459675772
"Control",1,1.4531714402235967
"Control",1,1.459569856762466
"Control",1,1.4703207409720929
"Control",1,1.67054883233717
"Control",1,1.7179277393213706
"Control",1,1.7513305983390777
"Control",1,1.7671010114328307
"Control",1,1.7759236927648019
"Control",1,1.7940021072646821
"Control",1,1.8560751590517377
"Control",1,1.9399562363789664
"Control",1,2.0006045318622343
"Control",1,2.0138340651458937
"Control",1,2.019673599183598
"Control",1,2.029476500742798
"Control",1,2.139291393423295
"eHSP70 12mo",1,1.2634130716627543
"eHSP70 12mo",1,1.4403337886534797
"eHSP70 12mo",1,1.5344755355208664
"eHSP70 12mo",1,1.5697657303499928
"eHSP70 12mo",1,1.5744090006469442
"eHSP70 12mo",1,1.6153260822979463
"eHSP70 12mo",1,1.6528866537852878
"eHSP70 12mo",1,1.6713320068649173
"eHSP70 12mo",1,1.7258986121633855
"eHSP70 12mo",1,1.7528113661241267
"eHSP70 12mo",1,1.830140588925146
"eHSP70 12mo",1,1.8343660633127583
"eHSP70 12mo",1,1.8490933372579124
"eHSP70 12mo",1,1.8550415186466702
"eHSP70 12mo",1,1.9788998476902309
"eHSP70 12mo",1,2.001316156059394
"eHSP70 12mo",1,2.028921107421626
"eHSP70 12mo",1,2.044008015029355
"eHSP70 12mo",1,2.0640488760861055
"eHSP70 12mo",1,2.082605339942399
"eHSP70 12mo",1,2.134146337080043
"eHSP70 12mo",1,2.262561848273994
"eHSP70 12mo",1,2.2843321425900447
"eHSP70 12mo",1,2.452807562821252
