"eRapa 2mo_f_Hasty_2015_p53 and rapamycin are additive","death","age (years)"
"Control",1,1.1017524784742831
"Control",1,1.22289711017632
"Control",1,1.2578526487490505
"Control",1,1.2950960184178255
"Control",1,1.3657047903123847
"Control",1,1.4896651607085332
"Control",1,1.6142047974543157
"Control",1,1.6743582279144515
"Control",1,1.9000359853628246
"Control",1,1.9478775838140365
"Control",1,1.9793569939685605
"Control",1,2.0016986524676375
"Control",1,2.0410336868083525
"Control",1,2.2882253508190273
"Control",1,2.392954700654151
"Control",1,2.4065916702374976
"eRapa 2mo",1,1.36088223703794
"eRapa 2mo",1,1.3880100443929426
"eRapa 2mo",1,1.4450229806761212
"eRapa 2mo",1,1.7571132584163005
"eRapa 2mo",1,1.7931702429988354
"eRapa 2mo",1,2.0630671675874845
"eRapa 2mo",1,2.1226929688064065
"eRapa 2mo",1,2.1924569009806847
"eRapa 2mo",1,2.2125228741066256
"eRapa 2mo",1,2.2317723283595376
"eRapa 2mo",1,2.2799763670997444
"eRapa 2mo",1,2.2986606514468524
"eRapa 2mo",1,2.378519019625932
"eRapa 2mo",1,2.401996104292382
"eRapa 2mo",1,2.418213739032144
"eRapa 2mo",1,2.459801153851753
"eRapa 2mo",1,2.4723435953560178
"eRapa 2mo",1,2.4966249573575205
"eRapa 2mo",1,2.632815304943392
"eRapa 2mo",1,2.9014576268860517
