"eRapa 2mo_m_Hasty_2015_p53 and rapamycin are additive","death","age (years)"
"Control",1,0.9492450320430642
"Control",1,1.113253598669409
"Control",1,1.2675343097780696
"Control",1,1.3301944963017958
"Control",1,1.4057901713176435
"Control",1,1.6240920912290218
"Control",1,1.6635144964950466
"Control",1,1.805712701424635
"Control",1,1.8453561194683719
"Control",1,1.870660020929502
"Control",1,1.8975908698964794
"Control",1,1.9387517801200964
"Control",1,2.017934790431528
"Control",1,2.0681681308463062
"Control",1,2.0781481289706654
"Control",1,2.1241607136233136
"Control",1,2.141112071091012
"Control",1,2.62436795090908
"eRapa 2mo",1,0.21426531074261004
"eRapa 2mo",1,0.3361624764974524
"eRapa 2mo",1,0.5993600707488115
"eRapa 2mo",1,0.7381238170279686
"eRapa 2mo",1,0.7937320045965505
"eRapa 2mo",1,1.437092488114875
"eRapa 2mo",1,1.4516093980374343
"eRapa 2mo",1,1.577113156376759
"eRapa 2mo",1,1.6044865314286796
"eRapa 2mo",1,1.6343370294166946
"eRapa 2mo",1,1.7468646360006785
"eRapa 2mo",1,1.7992141036905591
"eRapa 2mo",1,1.9161717664859892
"eRapa 2mo",1,1.9294863750730922
"eRapa 2mo",1,1.9567659586724795
"eRapa 2mo",1,2.0055946953088553
"eRapa 2mo",1,2.0446996804755915
"eRapa 2mo",1,2.0646768809382
"eRapa 2mo",1,2.0925358523449833
"eRapa 2mo",1,2.1113795687675756
"eRapa 2mo",1,2.1160539524828006
"eRapa 2mo",1,2.1207283361980256
"eRapa 2mo",1,2.2377784064740314
"eRapa 2mo",1,2.2693267995490416
"eRapa 2mo",1,2.3042318562745643
"eRapa 2mo",1,2.3605725888243163
"eRapa 2mo",1,2.4391980665452535
"eRapa 2mo",1,2.4729585825162537
"eRapa 2mo",1,2.5246185677822517
"eRapa 2mo",1,2.5538511952781278
"eRapa 2mo",1,2.571947726071209
"eRapa 2mo",1,2.660292213763714
"eRapa 2mo",1,2.7286402678257815
"eRapa 2mo",1,2.7639555617253753
"eRapa 2mo",1,2.7642792014552393
