"eRapa o3m_f_Kaeberlein_2016_Transient rapamycin treatment can increase lifespan and healthspan in middle-aged mice","death","age (years)"
"Control",1,2.1181514038447307
"Control",1,2.1729155709453742
"Control",1,2.207480934726662
"Control",1,2.225742505087458
"Control",1,2.2862187623255434
"Control",1,2.375368055170936
"Control",1,2.386071830900687
"Control",1,2.4125150274502865
"Control",1,2.466266409748931
"Control",1,2.54374471464685
"Control",1,2.6016630658751057
"Control",1,2.6274788229284045
"Control",1,2.655321230075452
"Control",1,2.7256134451690377
"Control",1,2.822621546892491
"Control",1,2.8845529970443033
"Control",1,2.8970616701571936
"eRapa o3m",1,2.149760702968037
"eRapa o3m",1,2.21703646958986
"eRapa o3m",1,2.2445226315776536
"eRapa o3m",1,2.487461599682649
"eRapa o3m",1,2.6079881596482326
"eRapa o3m",1,2.632545298866313
"eRapa o3m",1,2.777529285168815
"eRapa o3m",1,2.8113256926745938
"eRapa o3m",1,2.8396531534654383
"eRapa o3m",1,2.8687559398239793
"eRapa o3m",1,2.890630498869597
"eRapa o3m",1,2.9177756898267786
"eRapa o3m",1,2.9423661904947647
"eRapa o3m",1,2.9535742653147863
"eRapa o3m",1,2.964189212051561
"eRapa o3m",1,2.9877156624120613
"eRapa o3m",1,3.0011688934445098
