"eRapa o3m_m_Kaeberlein_2016_Transient rapamycin treatment can increase lifespan and healthspan in middle-aged mice","death","age (years)"
"Control",1,2.075897183706291
"Control",1,2.1591770073449226
"Control",1,2.1907071575146557
"Control",1,2.2103159244383095
"Control",1,2.2465764934664336
"Control",1,2.311807544299602
"Control",1,2.3674932317678103
"Control",1,2.3805419493935958
"Control",1,2.40933850098952
"Control",1,2.4580417145030675
"Control",1,2.527939425216526
"Control",1,2.5830145594195084
"Control",1,2.611420183324813
"Control",1,2.6391295662329917
"Control",1,2.6719317554203754
"Control",1,2.74878302048693
"Control",1,2.8381586612650977
"Control",1,2.890227870437716
"Control",1,2.908131606901621
"eRapa o3m",1,2.0973836712391978
"eRapa o3m",1,2.208754928501676
"eRapa o3m",1,2.2378330108275724
"eRapa o3m",1,2.379194299433344
"eRapa o3m",1,2.542811718270899
"eRapa o3m",1,2.6090111193185317
"eRapa o3m",1,2.750866311615119
"eRapa o3m",1,2.7864841682949972
"eRapa o3m",1,2.817153703376117
"eRapa o3m",1,2.8458957712891837
"eRapa o3m",1,2.878796476173216
"eRapa o3m",1,2.8957385217670035
"eRapa o3m",1,2.92039347222682
"eRapa o3m",1,2.948773829306849
"eRapa o3m",1,2.9531208446307793
"eRapa o3m",1,2.9616573851969243
"eRapa o3m",1,2.9775635583535798
"eRapa o3m",1,3.0104191321391336
